,input_id,output_id,input_text,output_text,chapter,tag1,tag2,-2,-1,0,1,2
16,1,226,ادب یکی از صفات اخلاقی نیکو است که انسان باید داشته باشد,گر چه بر واعظ شهر این سخن آسان نشود تا ریا ورزد و سالوس مسلمان نشود رندی آموز و کرم کن که نه چندان هنر است حیوانی که ننوشد می و انسان نشود گوهر پاک بباید که شود قابل فیض ور نه هر سنگ و گلی لل و مرجان نشود اسم اعظم بکند کار خود ای دل خوش باش که به تلبیس و حیل دیو مسلمان نشود عشق می‌ورزم و امید که این فن شریف چون هنرهای دگر موجب حرمان نشود دوش می‌گفت که فردا بدهم کام دلت سببی ساز خدایا که پشیمان نشود حسن خلقی ز خدا می‌طلبم خوی تو را تا دگر خاطر ما از تو پریشان نشود ذره را تا نبود همت عالی حافظ طالب چشمه خورشید درخشان نشود,غزل    ۲۲۷,0,1,0,0,1,1,0
17,7,162,ثروت چیز خوبی است,گل بی رخ یار خوش نباشد بی باده بهار خوش نباشد طرف چمن و طواف بستان بی لاله عذار خوش نباشد رقصیدن سرو و حالت گل بی صوت هزار خوش نباشد با یار شکرلب گل اندام بی بوس و کنار خوش نباشد هر نقش که دست عقل بندد جز نقش نگار خوش نباشد جان نقد محقر است حافظ از بهر نثار خوش نباشد,غزل    ۱۶۳,0,-2,1,0,1,0,0
18,10,368,نباید عیبی که خودمان داریم را به دیگران نسبت دهیم,ما ز یاران چشم یاری داشتیم خود غلط بود آن چه ما پنداشتیم تا درخت دوستی برگی دهد حالیا رفتیم و تخمی کاشتیم گفت و گو آیین درویشی نبود ور نه با تو ماجراها داشتیم شیوه چشمت فریب جنگ داشت ما غلط کردیم و صلح انگاشتیم گلبن حسنت نه خود شد دلفروز ما دم همت بر او بگماشتیم نکته‌ها رفت و شکایت کس نکرد جانب حرمت فرونگذاشتیم گفت خود دادی به ما دل حافظا ما محصل بر کسی نگماشتیم,غزل    ۳۶۹,0,1,0,0,1,1,0
19,10,377,نباید عیبی که خودمان داریم را به دیگران نسبت دهیم,ما نگوییم بد و میل به ناحق نکنیم جامه کس سیه و دلق خود ازرق نکنیم عیب درویش و توانگر به کم و بیش بد است کار بد مصلحت آن است که مطلق نکنیم رقم مغلطه بر دفتر دانش نزنیم سر حق بر ورق شعبده ملحق نکنیم شاه اگر جرعه رندان نه به حرمت نوشد التفاتش به می صاف مروق نکنیم خوش برانیم جهان در نظر راهروان فکر اسب سیه و زین مغرق نکنیم آسمان کشتی ارباب هنر می‌شکند تکیه آن به که بر این بحر معلق نکنیم گر بدی گفت حسودی و رفیقی رنجید گو تو خوش باش که ما گوش به احمق نکنیم حافظ ار خصم خطا گفت نگیریم بر او ور به حق گفت جدل با سخن حق نکنیم,غزل    ۳۷۸,0,2,0,0,1,0,1
20,11,216,باید به یتیمان کمک کرد,مسلمانان مرا وقتی دلی بود که با وی گفتمی گر مشکلی بود به گردابی چو می‌افتادم از غم به تدبیرش امید ساحلی بود دلی همدرد و یاری مصلحت بین که استظهار هر اهل دلی بود ز من ضایع شد اندر کوی جانان چه دامنگیر یا رب منزلی بود هنر بی‌عیب حرمان نیست لیکن ز من محرومتر کی سالی بود بر این جان پریشان رحمت آرید که وقتی کاردانی کاملی بود مرا تا عشق تعلیم سخن کرد حدیثم نکته هر محفلی بود مگو دیگر که حافظ نکته‌دان است که ما دیدیم و محکم جاهلی بود,غزل    ۲۱۷,0,0,0,0,2,0,0
21,13,95,باید بخشنده باشیم,درد ما را نیست درمان الغیاث هجر ما را نیست پایان الغیاث دین و دل بردند و قصد جان کنند الغیاث از جور خوبان الغیاث در بهای بوسه‌ای جانی طلب می‌کنند این دلستانان الغیاث خون ما خوردند این کافردلان ای مسلمانان چه درمان الغیاث همچو حافظ روز و شب بی خویشتن گشته‌ام سوزان و گریان الغیاث,غزل    ۹۶,0,1,0,0,1,1,0
22,14,377,باید حق‌جو وعدالت‌پیشه باشیم,ما نگوییم بد و میل به ناحق نکنیم جامه کس سیه و دلق خود ازرق نکنیم عیب درویش و توانگر به کم و بیش بد است کار بد مصلحت آن است که مطلق نکنیم رقم مغلطه بر دفتر دانش نزنیم سر حق بر ورق شعبده ملحق نکنیم شاه اگر جرعه رندان نه به حرمت نوشد التفاتش به می صاف مروق نکنیم خوش برانیم جهان در نظر راهروان فکر اسب سیه و زین مغرق نکنیم آسمان کشتی ارباب هنر می‌شکند تکیه آن به که بر این بحر معلق نکنیم گر بدی گفت حسودی و رفیقی رنجید گو تو خوش باش که ما گوش به احمق نکنیم حافظ ار خصم خطا گفت نگیریم بر او ور به حق گفت جدل با سخن حق نکنیم,غزل    ۳۷۸,1,0,0,0,1,1,0
23,15,226,کنترل نکردن زبان انسان را بی‌ارزش می‌کند.,گر چه بر واعظ شهر این سخن آسان نشود تا ریا ورزد و سالوس مسلمان نشود رندی آموز و کرم کن که نه چندان هنر است حیوانی که ننوشد می و انسان نشود گوهر پاک بباید که شود قابل فیض ور نه هر سنگ و گلی لل و مرجان نشود اسم اعظم بکند کار خود ای دل خوش باش که به تلبیس و حیل دیو مسلمان نشود عشق می‌ورزم و امید که این فن شریف چون هنرهای دگر موجب حرمان نشود دوش می‌گفت که فردا بدهم کام دلت سببی ساز خدایا که پشیمان نشود حسن خلقی ز خدا می‌طلبم خوی تو را تا دگر خاطر ما از تو پریشان نشود ذره را تا نبود همت عالی حافظ طالب چشمه خورشید درخشان نشود,غزل    ۲۲۷,0,1,0,0,1,1,0
24,16,352,نباید از دیگران درخواست های متعدد داشت,من ترک عشق شاهد و ساغر نمی‌کنم صد بار توبه کردم و دیگر نمی‌کنم باغ بهشت و سایه طوبی و قصر و حور با خاک کوی دوست برابر نمی‌کنم تلقین و درس اهل نظر یک اشارت است گفتم کنایتی و مکرر نمی‌کنم هرگز نمی‌شود ز سر خود خبر مرا تا در میان میکده سر بر نمی‌کنم ناصح به طعن گفت که رو ترک عشق کن محتاج جنگ نیست برادر نمی‌کنم این تقواام تمام که با شاهدان شهر ناز و کرشمه بر سر منبر نمی‌کنم حافظ جناب پیر مغان جای دولت است من ترک خاک بوسی این در نمی‌کنم,غزل    ۳۵۳,0,0,0,0,2,0,0
25,18,222,نباید اندوهگین شد,هرگزم نقش تو از لوح دل و جان نرود هرگز از یاد من آن سرو خرامان نرود از دماغ من سرگشته خیال دهنت به جفای فلک و غصه دوران نرود در ازل بست دلم با سر زلفت پیوند تا ابد سر نکشد و از سر پیمان نرود هر چه جز بار غمت بر دل مسکین من است برود از دل من و از دل من آن نرود آن چنان مهر توام در دل و جان جای گرفت که اگر سر برود از دل و از جان نرود گر رود از پی خوبان دل من معذور است درد دارد چه کند کز پی درمان نرود هر که خواهد که چو حافظ نشود سرگردان دل به خوبان ندهد و از پی ایشان نرود,غزل    ۲۲۳,1,1,0,0,0,2,0
26,22,297,میزان موفقیت به اندازه میزان رنج و تلاش است,مقام امن و می بی‌غش و رفیق شفیق گرت مدام میسر شود زهی توفیق جهان و کار جهان جمله هیچ بر هیچ است هزار بار من این نکته کرده‌ام تحقیق دریغ و درد که تا این زمان ندانستم که کیمیای سعادت رفیق بود رفیق به ممنی رو و فرصت شمر غنیمت وقت که در کمینگه عمرند قاطعان طریق بیا که توبه ز لعل نگار و خنده جام حکایتیست که عقلش نمی‌کند تصدیق اگر چه موی میانت به چون منی نرسد خوش است خاطرم از فکر این خیال دقیق حلاوتی که تو را در چه زنخدان است به کنه آن نرسد صد هزار فکر عمیق اگر به رنگ عقیقی شد اشک من چه عجب که مهر خاتم لعل تو هست همچو عقیق به خنده گفت که حافظ غلام طبع توام ببین که تا به چه حدم همی‌کند تحمیق,غزل    ۲۹۸,-1,1,0,1,0,1,0
27,24,290,باید در برابر مشکلات استقامت داشته باشیم,ما آزموده‌ایم در این شهر بخت خویش بیرون کشید باید از این ورطه رخت خویش از بس که دست می‌گزم و آه می‌کشم آتش زدم چو گل به تن لخت لخت خویش دوشم ز بلبلی چه خوش آمد که می‌سرود گل گوش پهن کرده ز شاخ درخت خویش کای دل تو شاد باش که آن یار تندخو بسیار تندروی نشیند ز بخت خویش خواهی که سخت و سست جهان بر تو بگذرد بگذر ز عهد سست و سخن‌های سخت خویش وقت است کز فراق تو وز سوز اندرون آتش درافکنم به همه رخت و پخت خویش ای حافظ ار مراد میسر شدی مدام جمشید نیز دور نماندی ز تخت خویش,غزل    ۲۹۱,0,2,0,0,1,0,1
28,25,343,بخشی از زمان هر روز را باید به تفریح و بخش دیگری را به کار اختصاص داد,عمریست تا من در طلب هر روز گامی می‌زنم دست شفاعت هر زمان در نیک نامی می‌زنم بی ماه مهرافروز خود تا بگذرانم روز خود دامی به راهی می‌نهم مرغی به دامی می‌زنم اورنگ کو گلچهر کو نقش وفا و مهر کو حالی من اندر عاشقی داو تمامی می‌زنم تا بو که یابم آگهی از سایه سرو سهی گلبانگ عشق از هر طرف بر خوش خرامی می‌زنم هر چند کان آرام دل دانم نبخشد کام دل نقش خیالی می‌کشم فال دوامی می‌زنم دانم سر آرد غصه را رنگین برآرد قصه را این آه خون افشان که من هر صبح و شامی می‌زنم با آن که از وی غایبم و از می چو حافظ تایبم در مجلس روحانیان گه گاه جامی می‌زنم,غزل    ۳۴۴,0,-2,1,0,1,0,0
29,28,376,باید شکرگزار باشیم,ما شبی دست برآریم و دعایی بکنیم غم هجران تو را چاره ز جایی بکنیم دل بیمار شد از دست رفیقان مددی تا طبیبش به سر آریم و دوایی بکنیم آن که بی جرم برنجید و به تیغم زد و رفت بازش آرید خدا را که صفایی بکنیم خشک شد بیخ طرب راه خرابات کجاست تا در آن آب و هوا نشو و نمایی بکنیم مدد از خاطر رندان طلب ای دل ور نه کار صعب است مبادا که خطایی بکنیم سایه طایر کم حوصله کاری نکند طلب از سایه میمون همایی بکنیم دلم از پرده بشد حافظ خوشگوی کجاست تا به قول و غزلش ساز نوایی بکنیم,غزل    ۳۷۷,0,0,0,0,2,0,0
30,28,286,باید شکرگزار باشیم,ای همه شکل تو مطبوع و همه جای تو خوش دلم از عشوه شیرین شکرخای تو خوش همچو گلبرگ طری هست وجود تو لطیف همچو سرو چمن خلد سراپای تو خوش شیوه و ناز تو شیرین خط و خال تو ملیح چشم و ابروی تو زیبا قد و بالای تو خوش هم گلستان خیالم ز تو پرنقش و نگار هم مشام دلم از زلف سمن سای تو خوش در ره عشق که از سیل بلا نیست گذار کرده‌ام خاطر خود را به تمنای تو خوش شکر چشم تو چه گویم که بدان بیماری می کند درد مرا از رخ زیبای تو خوش در بیابان طلب گر چه ز هر سو خطریست می‌رود حافظ بی‌دل به تولای تو خوش,غزل    ۲۸۷,1,1,0,0,0,2,0
31,30,84,نباید مغرور باشیم,شربتی از لب لعلش نچشیدیم و برفت روی مه پیکر او سیر ندیدیم و برفت گویی از صحبت ما نیک به تنگ آمده بود بار بربست و به گردش نرسیدیم و برفت بس که ما فاتحه و حرز یمانی خواندیم وز پی اش سوره اخلاص دمیدیم و برفت عشوه دادند که بر ما گذری خواهی کرد دیدی آخر که چنین عشوه خریدیم و برفت شد چمان در چمن حسن و لطافت لیکن در گلستان وصالش نچمیدیم و برفت همچو حافظ همه شب ناله و زاری کردیم کای دریغا به وداعش نرسیدیم و برفت,غزل    ۸۵,0,2,0,0,1,0,1
32,31,368,باید خطاهای دیگران را ببخشیم,ما ز یاران چشم یاری داشتیم خود غلط بود آن چه ما پنداشتیم تا درخت دوستی برگی دهد حالیا رفتیم و تخمی کاشتیم گفت و گو آیین درویشی نبود ور نه با تو ماجراها داشتیم شیوه چشمت فریب جنگ داشت ما غلط کردیم و صلح انگاشتیم گلبن حسنت نه خود شد دلفروز ما دم همت بر او بگماشتیم نکته‌ها رفت و شکایت کس نکرد جانب حرمت فرونگذاشتیم گفت خود دادی به ما دل حافظا ما محصل بر کسی نگماشتیم,غزل    ۳۶۹,0,1,0,0,1,1,0
33,33,84,نباید در خوردن زیاده‌روی کرد,شربتی از لب لعلش نچشیدیم و برفت روی مه پیکر او سیر ندیدیم و برفت گویی از صحبت ما نیک به تنگ آمده بود بار بربست و به گردش نرسیدیم و برفت بس که ما فاتحه و حرز یمانی خواندیم وز پی اش سوره اخلاص دمیدیم و برفت عشوه دادند که بر ما گذری خواهی کرد دیدی آخر که چنین عشوه خریدیم و برفت شد چمان در چمن حسن و لطافت لیکن در گلستان وصالش نچمیدیم و برفت همچو حافظ همه شب ناله و زاری کردیم کای دریغا به وداعش نرسیدیم و برفت,غزل    ۸۵,0,0,0,0,2,0,0
34,34,347,باید به قلب و احساسات توجه کرد,دیده دریا کنم و صبر به صحرا فکنم و اندر این کار دل خویش به دریا فکنم از دل تنگ گنهکار برآرم آهی کتش اندر گنه آدم و حوا فکنم مایه خوشدلی آن جاست که دلدار آن جاست می‌کنم جهد که خود را مگر آن جا فکنم بگشا بند قبا ای مه خورشیدکلاه تا چو زلفت سر سودازده در پا فکنم خورده‌ام تیر فلک باده بده تا سرمست عقده دربند کمر ترکش جوزا فکنم جرعه جام بر این تخت روان افشانم غلغل چنگ در این گنبد مینا فکنم حافظا تکیه بر ایام چو سهو است و خطا من چرا عشرت امروز به فردا فکنم,غزل    ۳۴۸,1,1,0,0,0,2,0
35,35,79,مردم را باید از کارهای بد باز داشت,عیب رندان مکن ای زاهد پاکیزه سرشت که گناه دگران بر تو نخواهند نوشت من اگر نیکم و گر بد تو برو خود را باش هر کسی آن درود عاقبت کار که کشت همه کس طالب یارند چه هشیار و چه مست همه جا خانه عشق است چه مسجد چه کنشت سر تسلیم من و خشت در میکده‌ها مدعی گر نکند فهم سخن گو سر و خشت ناامیدم مکن از سابقه لطف ازل تو پس پرده چه دانی که که خوب است و که زشت نه من از پرده تقوا به درافتادم و بس پدرم نیز بهشت ابد از دست بهشت حافظا روز اجل گر به کف آری جامی یک سر از کوی خرابات برندت به بهشت,غزل    ۸۰,-2,-2,2,0,0,0,0
36,37,205,باید در هنگام پیمان بستن دقت کنیم,پیش از اینت بیش از این اندیشه عشاق بود مهرورزی تو با ما شهره آفاق بود یاد باد آن صحبت شب‌ها که با نوشین لبان بحث سر عشق و ذکر حلقه عشاق بود پیش از این کاین سقف سبز و طاق مینا برکشند منظر چشم مرا ابروی جانان طاق بود از دم صبح ازل تا آخر شام ابد دوستی و مهر بر یک عهد و یک میثاق بود سایه معشوق اگر افتاد بر عاشق چه شد ما به او محتاج بودیم او به ما مشتاق بود حسن مه رویان مجلس گر چه دل می‌برد و دین بحث ما در لطف طبع و خوبی اخلاق بود بر در شاهم گدایی نکته‌ای در کار کرد گفت بر هر خوان که بنشستم خدا رزاق بود رشته تسبیح اگر بگسست معذورم بدار دستم اندر دامن ساقی سیمین ساق بود در شب قدر ار صبوحی کرده‌ام عیبم مکن سرخوش آمد یار و جامی بر کنار طاق بود شعر حافظ در زمان آدم اندر باغ خلد دفتر نسرین و گل را زینت اوراق بود,غزل    ۲۰۶,0,0,0,0,2,0,0
37,38,368,در انتخاب دوست باید دقت کنیم,ما ز یاران چشم یاری داشتیم خود غلط بود آن چه ما پنداشتیم تا درخت دوستی برگی دهد حالیا رفتیم و تخمی کاشتیم گفت و گو آیین درویشی نبود ور نه با تو ماجراها داشتیم شیوه چشمت فریب جنگ داشت ما غلط کردیم و صلح انگاشتیم گلبن حسنت نه خود شد دلفروز ما دم همت بر او بگماشتیم نکته‌ها رفت و شکایت کس نکرد جانب حرمت فرونگذاشتیم گفت خود دادی به ما دل حافظا ما محصل بر کسی نگماشتیم,غزل    ۳۶۹,1,1,0,0,0,2,0
38,41,106,صبر یکی از صفات خردمندان است,حسن تو همیشه در فزون باد رویت همه ساله لاله گون باد اندر سر ما خیال عشقت هر روز که باد در فزون باد هر سرو که در چمن درآید در خدمت قامتت نگون باد چشمی که نه فتنه تو باشد چون گوهر اشک غرق خون باد چشم تو ز بهر دلربایی در کردن سحر ذوفنون باد هر جا که دلیست در غم تو بی صبر و قرار و بی سکون باد قد همه دلبران عالم پیش الف قدت چو نون باد هر دل که ز عشق توست خالی از حلقه وصل تو برون باد لعل تو که هست جان حافظ دور از لب مردمان دون باد,غزل    ۱۰۷,0,0,0,0,2,0,0
39,42,105,باید سختی‌ها را تحمل کرد,تنت به ناز طبیبان نیازمند مباد وجود نازکت آزرده گزند مباد سلامت همه آفاق در سلامت توست به هیچ عارضه شخص تو دردمند مباد جمال صورت و معنی ز امن صحت توست که ظاهرت دژم و باطنت نژند مباد در این چمن چو درآید خزان به یغمایی رهش به سرو سهی قامت بلند مباد در آن بساط که حسن تو جلوه آغازد مجال طعنه بدبین و بدپسند مباد هر آن که روی چو ماهت به چشم بد بیند بر آتش تو بجز جان او سپند مباد شفا ز گفته شکرفشان حافظ جوی که حاجتت به علاج گلاب و قند مباد,غزل    ۱۰۶,0,0,0,0,2,0,0
40,43,377,ما باید راست بگوییم حتی اگر به ضرر ما باشد و نباید دروغ بگوییم حتی اگر به ما سود برساند,ما نگوییم بد و میل به ناحق نکنیم جامه کس سیه و دلق خود ازرق نکنیم عیب درویش و توانگر به کم و بیش بد است کار بد مصلحت آن است که مطلق نکنیم رقم مغلطه بر دفتر دانش نزنیم سر حق بر ورق شعبده ملحق نکنیم شاه اگر جرعه رندان نه به حرمت نوشد التفاتش به می صاف مروق نکنیم خوش برانیم جهان در نظر راهروان فکر اسب سیه و زین مغرق نکنیم آسمان کشتی ارباب هنر می‌شکند تکیه آن به که بر این بحر معلق نکنیم گر بدی گفت حسودی و رفیقی رنجید گو تو خوش باش که ما گوش به احمق نکنیم حافظ ار خصم خطا گفت نگیریم بر او ور به حق گفت جدل با سخن حق نکنیم,غزل    ۳۷۸,1,1,0,0,0,2,0
41,45,51,باید به پدر و مادر احترام گذاشت,روزگاریست که سودای بتان دین من است غم این کار نشاط دل غمگین من است دیدن روی تو را دیده جان بین باید وین کجا مرتبه چشم جهان بین من است یار من باش که زیب فلک و زینت دهر از مه روی تو و اشک چو پروین من است تا مرا عشق تو تعلیم سخن گفتن کرد خلق را ورد زبان مدحت و تحسین من است دولت فقر خدایا به من ارزانی دار کاین کرامت سبب حشمت و تمکین من است واعظ شحنه شناس این عظمت گو مفروش زان که منزلگه سلطان دل مسکین من است یا رب این کعبه مقصود تماشاگه کیست که مغیلان طریقش گل و نسرین من است حافظ از حشمت پرویز دگر قصه مخوان که لبش جرعه کش خسرو شیرین من است,غزل    ۵۲,0,0,0,0,2,0,0
42,45,486,باید به پدر و مادر احترام گذاشت,ای بی‌خبر بکوش که صاحب خبر شوی تا راهرو نباشی کی راهبر شوی در مکتب حقایق پیش ادیب عشق هان ای پسر بکوش که روزی پدر شوی دست از مس وجود چو مردان ره بشوی تا کیمیای عشق بیابی و زر شوی خواب و خورت ز مرتبه خویش دور کرد آن گه رسی به خویش که بی خواب و خور شوی گر نور عشق حق به دل و جانت اوفتد بالله کز آفتاب فلک خوبتر شوی یک دم غریق بحر خدا شو گمان مبر کز آب هفت بحر به یک موی تر شوی از پای تا سرت همه نور خدا شود در راه ذوالجلال چو بی پا و سر شوی وجه خدا اگر شودت منظر نظر زین پس شکی نماند که صاحب نظر شوی بنیاد هستی تو چو زیر و زبر شود در دل مدار هیچ که زیر و زبر شوی گر در سرت هوای وصال است حافظا باید که خاک درگه اهل هنر شوی,غزل    ۴۸۷,0,0,0,0,2,0,0
43,48,374,باید از منافق دوری کنیم,صوفی بیا که خرقه سالوس برکشیم وین نقش زرق را خط بطلان به سر کشیم نذر و فتوح صومعه در وجه می‌نهیم دلق ریا به آب خرابات برکشیم فردا اگر نه روضه رضوان به ما دهند غلمان ز روضه حور ز جنت به درکشیم بیرون جهیم سرخوش و از بزم صوفیان غارت کنیم باده و شاهد به بر کشیم عشرت کنیم ور نه به حسرت کشندمان روزی که رخت جان به جهانی دگر کشیم سر خدا که در تتق غیب منزویست مستانه‌اش نقاب ز رخسار برکشیم کو جلوه‌ای ز ابروی او تا چو ماه نو گوی سپهر در خم چوگان زر کشیم حافظ نه حد ماست چنین لاف‌ها زدن پای از گلیم خویش چرا بیشتر کشیم,غزل    ۳۷۵,0,0,0,0,2,0,0
44,49,479,لزوما رسیدن به چیزی که آرزو داریم به نفع ما نیست,ای که در کشتن ما هیچ مدارا نکنی سود و سرمایه بسوزی و محابا نکنی دردمندان بلا زهر هلاهل دارند قصد این قوم خطا باشد هان تا نکنی رنج ما را که توان برد به یک گوشه چشم شرط انصاف نباشد که مداوا نکنی دیده ما چو به امید تو دریاست چرا به تفرج گذری بر لب دریا نکنی نقل هر جور که از خلق کریمت کردند قول صاحب غرضان است تو آن‌ها نکنی بر تو گر جلوه کند شاهد ما ای زاهد از خدا جز می و معشوق تمنا نکنی حافظا سجده به ابروی چو محرابش بر که دعایی ز سر صدق جز آن جا نکنی,غزل    ۴۸۰,0,0,0,0,2,0,0
45,1,2606,ادب یکی از صفات اخلاقی نیکو است که انسان باید داشته باشد,هست اندر غم تو دلشده دانشمندی همچو نقره ست در آتشکده دانشمندی بر امید کرم و رحمت بخشایش تو از ره دور به سر آمده دانشمندی هست ز اوباش خیالات تو اندر ره عشق خسته و شیفته و ره زده دانشمندی چه زیان دارد خوبی تو را دوست اگر قوت یابد ز چنین مایده دانشمندی با چنین جام جنونی که تو گردان کردی کی بماند به سر قاعده دانشمندی کی روا دارد انصاف و جوانمردی تو که به غم کشته شود بیهده دانشمندی کی روا دارد خورشید حق گرمی بخش که فسرده شود از مجمده دانشمندی جانب مدرسه عشق کشیدش لطفت تا ز درس تو برد فایده دانشمندی نحس تربیع عناصر بگرفتش رحمی تا منور شود از منقده دانشمندی بس سخن دارد وز بیم ملال دل تو لب ببسته ست در این معبده دانشمندی,2869,0,1,0,0,1,1,0
46,4,1021,نباید براساس ظاهر افراد را قضاوت کرد,آن کس که به بندگیت آید با او تو چنین کنی نشاید ای روی تو خوب و خوی تو خوش چون تو گهری فلک نزاید روی تو و خوی تو لطیفست سر دل تو لطیف باید آن شخص که مردنیست فردا امروز چرا جفا نماید چیزی که به خود نمی پسندد آن بر دگری چه آزماید از خشم مخای هیچ کس را تا خشم خدا تو را نخاید برخیز ز قصد خون خلقان تا بر سر تو فرونیاید آن گاه قضا ز تو بگردد کان وسوسه در دلت نیاید ای گفته که مردم این چه مردیست کابلیس تو را چنین بگاید,717,0,1,0,0,1,1,0
47,5,1633,باید تجارب خود را به افراد دیگر منتقل کنیم,بیا تا قدر یک دیگر بدانیم که تا ناگه ز یک دیگر نمانیم چو مومن آینه مومن یقین شد چرا با آینه ما روگرانیم کریمان جان فدای دوست کردند سگی بگذار ما هم مردمانیم فسون قل اعوذ و قل هو الله چرا در عشق همدیگر نخوانیم غرض ها تیره دارد دوستی را غرض ها را چرا از دل نرانیم گهی خوشدل شوی از من که میرم چرا مرده پرست و خصم جانیم چو بعد از مرگ خواهی آشتی کرد همه عمر از غمت در امتحانیم کنون پندار مردم آشتی کن که در تسلیم ما چون مردگانیم چو بر گورم بخواهی بوسه دادن رخم را بوسه ده کاکنون همانیم خمش کن مرده وار ای دل ازیرا به هستی متهم ما زین زبانیم,1535,0,0,0,0,2,0,0
48,5,1979,باید تجارب خود را به افراد دیگر منتقل کنیم,راز چون با من نگوید یار من بند گردد پیش او گفتار من عذر می گوید که یعنی خامشم با تو می گوید دل هشیار من با کسی دیگر زبان گردد همه سر خود می گوید و اسرار من در گمان افتد دلم زین واقعه این دل ترسان بدپندار من گر بگوید ور نگوید راز من دل ندارد صبر از دلدار من,2014,0,2,0,0,1,0,1
49,6,2804,تفاوت قائل شدن بین انسان‌ها درست است,حکم نو کن که شاه دورانی سکه تازه زن که سلطانی حکم مطلق تو راست در عالم حاکمان قالب اند و تو جانی آن چه شاهان به خواب می جستند چون مسلم شدت به آسانی همه مرغان چو دانه چین تواند تو همایی میان مرغانی بر سر آمد رواق دولت تو ز آن که تو صاف صاف انسانی برتر آید ز جان ملک و ملک گر دهی دل به روح حیوانی شرط ها را ز عاشقان برگیر که تو احوال شان همی دانی دام ها را ز راه شان بردار خواه تقدیر و خواه شیطانی تا شوم سرخ رو در این دعوی که تو چون حق لطیف فرمانی شمس تبریز رحمت صرفی ز آن که سر صفات رحمانی,3142,1,1,0,0,0,2,0
50,7,2141,ثروت چیز خوبی است,هان ای جمال دلبر ای شاد وقت تو ما با تو بس خوشیم که خوش باد وقت تو نیکو است حال ما که نکو باد حال تو خوش باد دور چرخ کز او زاد وقت تو جان و سر تو یار که اندر دماغ ماست آن رطل های می که به ما داد وقت تو از قوت شراب به فریاد جام تو وز پرتو نشاط به فریاد وقت تو در جای می نگنجد از فخر جای تو که می کند ز عشق و فرهاد وقت تو,2241,0,0,0,0,2,0,0
