,model,input_text,output_data_source,input_vector,output_text,output_vector,k
863,LASER,آخرت را بر دنیا باید ترجیح داد,غزلیات شمس => 649,"[[-2.2283125e-04 -1.6075468e-07 -3.2927299e-05 ... -3.2623304e-06
  -3.0708741e-04  4.7693667e-03]]",بار دگر آمدیم تا شود اقبال شاد دولت بار دگر در رخ ما رو گشاد سرمه کشید این جهان باز ز دیدار ما گشت جهان تازه روی چشم بدش دور باد عشق ز زنجیر خویش جست و خرد را گرفت عقل ز دستان عشق ناله کنان داد داد مریم عشق قدیم زاد مسیحی عجب داد نیابد خرد چونک چنین فتنه زاد باز دو صد قرص ماه بر سر آن خوان شکست دل چو چنین خوان بدید پای به خون درنهاد دولت بشتافته ست چون نظرت تافته ست تا که بقا یافته ست عاشق کون و فساد مفخر تبریزیان شمس حق ای خوش نشان عالم ای شاه جان بی رخ خوبت مباد,[[0.00402047 0.0034262  0.00590483 ... 0.02567953 0.01303737 0.00779547]],4
63,LASER,آخرت را بر دنیا باید ترجیح داد,نقل قول از نویسندگان انگلیسی زبان => 1238,"[[-2.2283125e-04 -1.6075468e-07 -3.2927299e-05 ... -3.2623304e-06
  -3.0708741e-04  4.7693667e-03]]",We must be willing to let go of the life we planned so as to have the life that is waiting for us,"[[ 9.3666064e-03 -4.8381153e-05  7.9972707e-03 ...  5.3562839e-03
   2.4583761e-02  1.7418817e-02]]",4
61,LASER,آخرت را بر دنیا باید ترجیح داد,نقل قول از نویسندگان انگلیسی زبان => 1321,"[[-2.2283125e-04 -1.6075468e-07 -3.2927299e-05 ... -3.2623304e-06
  -3.0708741e-04  4.7693667e-03]]",And perhaps it is the greater grief after all to be left on earth when another is gone,"[[ 3.4872431e-03  2.2271508e-04 -1.3928027e-05 ... -2.7474322e-04
  -2.6091207e-03 -1.2371731e-04]]",2
60,LASER,آخرت را بر دنیا باید ترجیح داد,نقل قول از نویسندگان انگلیسی زبان => 2133,"[[-2.2283125e-04 -1.6075468e-07 -3.2927299e-05 ... -3.2623304e-06
  -3.0708741e-04  4.7693667e-03]]",No one is useless in this world who lightens the burdens of another,"[[ 1.3678668e-02 -1.9939100e-05 -4.2065862e-04 ...  2.4041713e-03
   5.8243633e-04  1.5322503e-02]]",1
62,LASER,آخرت را بر دنیا باید ترجیح داد,نقل قول از نویسندگان انگلیسی زبان => 385,"[[-2.2283125e-04 -1.6075468e-07 -3.2927299e-05 ... -3.2623304e-06
  -3.0708741e-04  4.7693667e-03]]",All the world is made of faith and trust and pixie dust,"[[ 6.6929049e-04 -4.4787495e-05 -2.3444714e-04 ...  5.9401174e-03
  -2.9864146e-03  5.7785162e-03]]",3
253,LASER,آزار دیگران یکی از صفات مذموم است که باید از آن پرهیز کرد,تک‌بیتی‌های فارسی => 154,"[[ 0.04510033 -0.0001079   0.00115818 ...  0.01884516  0.03355652
   0.04283478]]",خر باش که این جماعت از فرط خری هرکو نه خر است کافرش می‌خوانند,"[[ 0.0127613   0.00029952 -0.00047509 ...  0.01510558  0.01698224
   0.01902293]]",6
251,LASER,آزار دیگران یکی از صفات مذموم است که باید از آن پرهیز کرد,تک‌بیتی‌های فارسی => 194,"[[ 0.04510033 -0.0001079   0.00115818 ...  0.01884516  0.03355652
   0.04283478]]",دل که رنجید از کسی خرسند کردن مشکل است شیشه بشکسته را پیوند کردن مشکل است,"[[ 0.01492833 -0.00034514 -0.00094556 ...  0.01363956  0.03529301
   0.03210616]]",4
249,LASER,آزار دیگران یکی از صفات مذموم است که باید از آن پرهیز کرد,تک‌بیتی‌های فارسی => 204,"[[ 0.04510033 -0.0001079   0.00115818 ...  0.01884516  0.03355652
   0.04283478]]",تواضع گر چه محبوب است و فضل بیکران دارد نباید کرد بیش از حد که هیبت را زیان دارد,[[0.00617392 0.00917732 0.00551453 ... 0.01431952 0.01997709 0.02716102]],2
252,LASER,آزار دیگران یکی از صفات مذموم است که باید از آن پرهیز کرد,تک‌بیتی‌های فارسی => 241,"[[ 0.04510033 -0.0001079   0.00115818 ...  0.01884516  0.03355652
   0.04283478]]",اجرام که ساکنان این ایوانند اسباب تردد خردمندانند,[[0.00430876 0.00522014 0.00044195 ... 0.01097318 0.01087319 0.0449201 ]],5
250,LASER,آزار دیگران یکی از صفات مذموم است که باید از آن پرهیز کرد,تک‌بیتی‌های فارسی => 50,"[[ 0.04510033 -0.0001079   0.00115818 ...  0.01884516  0.03355652
   0.04283478]]",دل که رنجید از کسی خرسند کردن مشکل است شیشه بشکسته را پیوند کردن مشکل است,"[[ 0.01492833 -0.00034514 -0.00094556 ...  0.01363956  0.03529301
   0.03210616]]",3
248,LASER,آزار دیگران یکی از صفات مذموم است که باید از آن پرهیز کرد,تک‌بیتی‌های فارسی => 51,"[[ 0.04510033 -0.0001079   0.00115818 ...  0.01884516  0.03355652
   0.04283478]]",تواضع گر چه محبوب است و فضل بیکران دارد نباید کرد بیش از حد که هیبت را زیان دارد,[[0.00617392 0.00917732 0.00551453 ... 0.01431952 0.01997709 0.02716102]],1
516,LASER,آزار دیگران یکی از صفات مذموم است که باید از آن پرهیز کرد,حکمت‌های نهج‌البلاغه => 46,"[[ 0.04510033 -0.0001079   0.00115818 ...  0.01884516  0.03355652
   0.04283478]]",و قال ع قلوب الرجال وحشیه فمن تالفها اقبلت علیه ,[[0.01103632 0.01008241 0.01318421 ... 0.03539457 0.00526696 0.0281205 ]],1
517,LASER,آزار دیگران یکی از صفات مذموم است که باید از آن پرهیز کرد,حکمت‌های نهج‌البلاغه => 6,"[[ 0.04510033 -0.0001079   0.00115818 ...  0.01884516  0.03355652
   0.04283478]]",و الصدقه دواء منجح و اعمال العباد فی عاجلهم نصب اعینهم فی اجالهم ,"[[-0.00032032  0.01231648  0.00572618 ...  0.01157513  0.00535347
   0.03208893]]",2
632,LASER,آزار دیگران یکی از صفات مذموم است که باید از آن پرهیز کرد,غزلیات حافظ => 272,"[[ 0.04510033 -0.0001079   0.00115818 ...  0.01884516  0.03355652
   0.04283478]]",اگر رفیق شفیقی درست پیمان باش حریف خانه و گرمابه و گلستان باش شکنج زلف پریشان به دست باد مده مگو که خاطر عشاق گو پریشان باش گرت هواست که با خضر همنشین باشی نهان ز چشم سکندر چو آب حیوان باش زبور عشق نوازی نه کار هر مرغیست بیا و نوگل این بلبل غزل خوان باش طریق خدمت و آیین بندگی کردن خدای را که رها کن به ما و سلطان باش دگر به صید حرم تیغ برمکش زنهار و از آن که با دل ما کرده‌ای پشیمان باش تو شمع انجمنی یک زبان و یک دل شو خیال و کوشش پروانه بین و خندان باش کمال دلبری و حسن در نظربازیست به شیوه نظر از نادران دوران باش خموش حافظ و از جور یار ناله مکن تو را که گفت که در روی خوب حیران باش,"[[3.2241814e-02 7.5960588e-06 2.7556019e-02 ... 2.9961893e-03
  1.2699062e-02 4.9566302e-02]]",1
634,LASER,آزار دیگران یکی از صفات مذموم است که باید از آن پرهیز کرد,غزلیات حافظ => 28,"[[ 0.04510033 -0.0001079   0.00115818 ...  0.01884516  0.03355652
   0.04283478]]",ما را ز خیال تو چه پروای شراب است خم گو سر خود گیر که خمخانه خراب است گر خمر بهشت است بریزید که بی دوست هر شربت عذبم که دهی عین عذاب است افسوس که شد دلبر و در دیده گریان تحریر خیال خط او نقش بر آب است بیدار شو ای دیده که ایمن نتوان بود زین سیل دمادم که در این منزل خواب است معشوق عیان می‌گذرد بر تو ولیکن اغیار همی‌بیند از آن بسته نقاب است گل بر رخ رنگین تو تا لطف عرق دید در آتش شوق از غم دل غرق گلاب است سبز است در و دشت بیا تا نگذاریم دست از سر آبی که جهان جمله سراب است در کنج دماغم مطلب جای نصیحت کاین گوشه پر از زمزمه چنگ و رباب است حافظ چه شد ار عاشق و رند است و نظرباز بس طور عجب لازم ایام شباب است,"[[ 0.00738365 -0.00024334  0.0121843  ...  0.00421951  0.02317447
   0.03200851]]",3
635,LASER,آزار دیگران یکی از صفات مذموم است که باید از آن پرهیز کرد,غزلیات حافظ => 318,"[[ 0.04510033 -0.0001079   0.00115818 ...  0.01884516  0.03355652
   0.04283478]]",سال‌ها پیروی مذهب رندان کردم تا به فتوی خرد حرص به زندان کردم من به سرمنزل عنقا نه به خود بردم راه قطع این مرحله با مرغ سلیمان کردم سایه‌ای بر دل ریشم فکن ای گنج روان که من این خانه به سودای تو ویران کردم توبه کردم که نبوسم لب ساقی و کنون می‌گزم لب که چرا گوش به نادان کردم در خلاف آمد عادت بطلب کام که من کسب جمعیت از آن زلف پریشان کردم نقش مستوری و مستی نه به دست من و توست آن چه سلطان ازل گفت بکن آن کردم دارم از لطف ازل جنت فردوس طمع گر چه دربانی میخانه فراوان کردم این که پیرانه سرم صحبت یوسف بنواخت اجر صبریست که در کلبه احزان کردم صبح خیزی و سلامت طلبی چون حافظ هر چه کردم همه از دولت قرآن کردم گر به دیوان غزل صدرنشینم چه عجب سال‌ها بندگی صاحب دیوان کردم,"[[ 8.1901951e-03 -6.3013707e-05  6.9249971e-03 ...  5.5415523e-03
   1.9128764e-02  5.0832499e-02]]",4
633,LASER,آزار دیگران یکی از صفات مذموم است که باید از آن پرهیز کرد,غزلیات حافظ => 361,"[[ 0.04510033 -0.0001079   0.00115818 ...  0.01884516  0.03355652
   0.04283478]]",دیدار شد میسر و بوس و کنار هم از بخت شکر دارم و از روزگار هم زاهد برو که طالع اگر طالع من است جامم به دست باشد و زلف نگار هم ما عیب کس به مستی و رندی نمی‌کنیم لعل بتان خوش است و می خوشگوار هم ای دل بشارتی دهمت محتسب نماند و از می جهان پر است و بت میگسار هم خاطر به دست تفرقه دادن نه زیرکیست مجموعه‌ای بخواه و صراحی بیار هم بر خاکیان عشق فشان جرعه لبش تا خاک لعل گون شود و مشکبار هم آن شد که چشم بد نگران بودی از کمین خصم از میان برفت و سرشک از کنار هم چون کانات جمله به بوی تو زنده‌اند ای آفتاب سایه ز ما برمدار هم چون آب روی لاله و گل فیض حسن توست ای ابر لطف بر من خاکی ببار هم حافظ اسیر زلف تو شد از خدا بترس و از انتصاف آصف جم اقتدار هم برهان ملک و دین که ز دست وزارتش ایام کان یمین شد و دریا یسار هم بر یاد رای انور او آسمان به صبح جان می‌کند فدا و کواکب نثار هم گوی زمین ربوده چوگان عدل اوست وین برکشیده گنبد نیلی حصار هم عزم سبک عنان تو در جنبش آورد این پایدار مرکز عالی مدار هم تا از نتیجه فلک و طور دور اوست تبدیل ماه و سال و خزان و بهار هم خالی مباد کاخ جلالش ز سروران و از ساقیان سروقد گلعذار هم,"[[ 0.01832714 -0.00032375  0.01020052 ...  0.00573127  0.02295953
   0.03193078]]",2
835,LASER,آزار دیگران یکی از صفات مذموم است که باید از آن پرهیز کرد,غزلیات شمس => 1790,"[[ 0.04510033 -0.0001079   0.00115818 ...  0.01884516  0.03355652
   0.04283478]]",مطرب جان های دل برده تا به شب تا به شب همین پرده جان هایی که مست و مخمورند بر سر باده باده ای خورده در خرابات مفردان رفته خرقه آب و گل گرو کرده,"[[ 0.0068154  -0.00062875  0.00137337 ...  0.02597953  0.01202569
   0.02072586]]",4
834,LASER,آزار دیگران یکی از صفات مذموم است که باید از آن پرهیز کرد,غزلیات شمس => 411,"[[ 0.04510033 -0.0001079   0.00115818 ...  0.01884516  0.03355652
   0.04283478]]",یکی گولی همی خواهم که در دلبر نظر دارد نمی خواهم هنرمندی که دیده در هنر دارد دلی همچون صدف خواهم که در جان گیرد آن گوهر دل سنگین نمی خواهم که پندار گهر دارد ز خودبینی جدا گشته پر از عشق خدا گشته ز مالش های غم غافل به مالنده عبر دارد,"[[ 4.8845457e-03 -5.7281708e-05  6.9776754e-04 ...  3.6312346e-03
   8.1543317e-03  3.9101027e-02]]",3
833,LASER,آزار دیگران یکی از صفات مذموم است که باید از آن پرهیز کرد,غزلیات شمس => 861,"[[ 0.04510033 -0.0001079   0.00115818 ...  0.01884516  0.03355652
   0.04283478]]",عار بادا جهانیان را عار از دو سه ماده ابله طرار شکلک زاهدان ولی ز درون لیس فی الدار سیدی دیار به دو پول سیاه بتوان یافت زین چنین خربطان دو سه خروار,"[[ 5.8419439e-03  1.6279167e-03 -4.7512117e-06 ...  1.6262697e-02
   2.0888187e-02  1.0610698e-02]]",2
832,LASER,آزار دیگران یکی از صفات مذموم است که باید از آن پرهیز کرد,غزلیات شمس => 917,"[[ 0.04510033 -0.0001079   0.00115818 ...  0.01884516  0.03355652
   0.04283478]]",آن مطرب ما خوشست و چنگش دیوانه شود دل از ترنگش چون چنگ زند یکی تو بنگر کز لطف چگونه گشت رنگش گر تنگ آیی ز زندگانی برجه به کنار گیر تنگش,"[[ 0.01294566 -0.00010738  0.00206375 ...  0.00247155  0.00896251
   0.02717413]]",1
34,LASER,آزار دیگران یکی از صفات مذموم است که باید از آن پرهیز کرد,نقل قول از نویسندگان انگلیسی زبان => 1854,"[[ 0.04510033 -0.0001079   0.00115818 ...  0.01884516  0.03355652
   0.04283478]]",The mark of the immature man is that he wants to die nobly for a cause while the mark of the mature man is that he wants to live humbly for one,"[[ 4.8116748e-03 -2.5378438e-05  5.0937748e-03 ...  7.3001035e-03
   2.1429326e-02  2.3532305e-02]]",3
32,LASER,آزار دیگران یکی از صفات مذموم است که باید از آن پرهیز کرد,نقل قول از نویسندگان انگلیسی زبان => 1907,"[[ 0.04510033 -0.0001079   0.00115818 ...  0.01884516  0.03355652
   0.04283478]]",Fashion is a form of ugliness so intolerable that we have to alter it every six months,"[[ 7.9444349e-03 -9.2028116e-05 -1.6220327e-03 ...  2.1928402e-02
   2.3087317e-02  2.2574821e-02]]",1
33,LASER,آزار دیگران یکی از صفات مذموم است که باید از آن پرهیز کرد,نقل قول از نویسندگان انگلیسی زبان => 1924,"[[ 0.04510033 -0.0001079   0.00115818 ...  0.01884516  0.03355652
   0.04283478]]",The surest way to corrupt a youth is to instruct him to hold in higher esteem those who think alike than those who think differently,"[[ 1.5846360e-02 -3.3306831e-05 -2.3417594e-03 ...  2.4758182e-02
   3.2558557e-02  1.4377363e-02]]",2
35,LASER,آزار دیگران یکی از صفات مذموم است که باید از آن پرهیز کرد,نقل قول از نویسندگان انگلیسی زبان => 637,"[[ 0.04510033 -0.0001079   0.00115818 ...  0.01884516  0.03355652
   0.04283478]]",Stories of imagination tend to upset those without one,"[[-0.00010312 -0.00043595  0.003774   ...  0.01636159  0.07747432
   0.00276933]]",4
337,LASER,ادب یکی از صفات اخلاقی نیکو است که انسان باید داشته باشد,تک‌بیتی‌های فارسی => 182,"[[ 0.01119622 -0.00018184  0.00308245 ...  0.01036483  0.0017441
   0.04757289]]",آنجا که جهل مایه تمکین و سروریست باید به روز مردم دانا گریست,[[0.00042785 0.02341631 0.01219032 ... 0.00991225 0.00877681 0.02218371]],6
332,LASER,ادب یکی از صفات اخلاقی نیکو است که انسان باید داشته باشد,تک‌بیتی‌های فارسی => 204,"[[ 0.01119622 -0.00018184  0.00308245 ...  0.01036483  0.0017441
   0.04757289]]",تواضع گر چه محبوب است و فضل بیکران دارد نباید کرد بیش از حد که هیبت را زیان دارد,[[0.00617392 0.00917732 0.00551453 ... 0.01431952 0.01997709 0.02716102]],1
335,LASER,ادب یکی از صفات اخلاقی نیکو است که انسان باید داشته باشد,تک‌بیتی‌های فارسی => 336,"[[ 0.01119622 -0.00018184  0.00308245 ...  0.01036483  0.0017441
   0.04757289]]",خموشی پیشه کن در مکتب عشق که درس عاشقی بی قیل و قال است,"[[ 0.00455627  0.00234836  0.00086635 ... -0.00040043  0.01293201
   0.02448481]]",4
336,LASER,ادب یکی از صفات اخلاقی نیکو است که انسان باید داشته باشد,تک‌بیتی‌های فارسی => 345,"[[ 0.01119622 -0.00018184  0.00308245 ...  0.01036483  0.0017441
   0.04757289]]",در این عالم از هرچه بایستنیست نکوتر ز فرزند شایسته نیست,[[0.00200402 0.00956795 0.00185179 ... 0.00801379 0.01348255 0.02611928]],5
333,LASER,ادب یکی از صفات اخلاقی نیکو است که انسان باید داشته باشد,تک‌بیتی‌های فارسی => 51,"[[ 0.01119622 -0.00018184  0.00308245 ...  0.01036483  0.0017441
   0.04757289]]",تواضع گر چه محبوب است و فضل بیکران دارد نباید کرد بیش از حد که هیبت را زیان دارد,[[0.00617392 0.00917732 0.00551453 ... 0.01431952 0.01997709 0.02716102]],2
334,LASER,ادب یکی از صفات اخلاقی نیکو است که انسان باید داشته باشد,تک‌بیتی‌های فارسی => 64,"[[ 0.01119622 -0.00018184  0.00308245 ...  0.01036483  0.0017441
   0.04757289]]",چراغ جمله عالم عقل و دینست تو عاشق شو که به ز آن جمله اینست,"[[ 0.00248634 -0.00016384  0.01566106 ...  0.00515923  0.00691008
   0.03837935]]",3
545,LASER,ادب یکی از صفات اخلاقی نیکو است که انسان باید داشته باشد,حکمت‌های نهج‌البلاغه => 427,"[[ 0.01119622 -0.00018184  0.00308245 ...  0.01036483  0.0017441
   0.04757289]]",و قال ع ما المجاهد الشهید فی سبیل الله باعظم اجرا ممن قدر فعف لکاد العفیف ان یکون ملکا من الملائکه ,"[[ 0.00076692  0.00882864  0.00013727 ...  0.0088334  -0.00028409
   0.01977416]]",2
544,LASER,ادب یکی از صفات اخلاقی نیکو است که انسان باید داشته باشد,حکمت‌های نهج‌البلاغه => 6,"[[ 0.01119622 -0.00018184  0.00308245 ...  0.01036483  0.0017441
   0.04757289]]",و الصدقه دواء منجح و اعمال العباد فی عاجلهم نصب اعینهم فی اجالهم ,"[[-0.00032032  0.01231648  0.00572618 ...  0.01157513  0.00535347
   0.03208893]]",1
