,model,input_id,input_text,output_id,output_text,k,input_vector,output_vector
10,LASER,5,باید تجارب خود را به افراد دیگر منتقل کنیم,1412,آن مطرب ما خوشست و چنگش دیوانه شود دل از ترنگش چون چنگ زند یکی تو بنگر کز لطف چگونه گشت رنگش گر تنگ آیی ز زندگانی برجه به کنار گیر تنگش,1,"[[ 0.02844489 -0.00019039  0.00320345 ...  0.001158    0.01048164
   0.01547805]]","[[ 0.01294566 -0.00010738  0.00206375 ...  0.00247155  0.00896251
   0.02717411]]"
11,LASER,5,باید تجارب خود را به افراد دیگر منتقل کنیم,2065,نحن الی سیدنا راجعون طیبه النفس به طایعون سیدنا یصبح یبتا عنا انفسنا نحن له بایعون یفسد ان جاع الی موکل نحن الی نظرته جایعون سوف تلاقیه به میعاده تحسب انا ابدا ضایعون,2,"[[ 0.02844489 -0.00019039  0.00320345 ...  0.001158    0.01048164
   0.01547805]]",[[0.00051806 0.00121766 0.01415103 ... 0.0076396  0.01014341 0.00597498]]
12,LASER,6,تفاوت قائل شدن بین انسان‌ها درست است,1356,عار بادا جهانیان را عار از دو سه ماده ابله طرار شکلک زاهدان ولی ز درون لیس فی الدار سیدی دیار به دو پول سیاه بتوان یافت زین چنین خربطان دو سه خروار,1,"[[ 0.01777368 -0.00015635  0.00232677 ...  0.01111673  0.01345928
   0.0370598 ]]","[[ 5.8419481e-03  1.6279215e-03 -4.7541507e-06 ...  1.6262712e-02
   2.0888185e-02  1.0610697e-02]]"
13,LASER,6,تفاوت قائل شدن بین انسان‌ها درست است,2290,فدیتتک یا ستی الناسیه الی کم تشد فم الخابیه الا فاملای منه لی کاسه تذکرنی صفوه ناسیه فما کاسه منه الا نجی و تاتی باخت لها آبیه,2,"[[ 0.01777368 -0.00015635  0.00232677 ...  0.01111673  0.01345928
   0.0370598 ]]","[[ 0.0167795  -0.00011786 -0.00165597 ...  0.01060321  0.00501328
   0.02375514]]"
14,LASER,7,ثروت چیز خوبی است,2290,فدیتتک یا ستی الناسیه الی کم تشد فم الخابیه الا فاملای منه لی کاسه تذکرنی صفوه ناسیه فما کاسه منه الا نجی و تاتی باخت لها آبیه,1,"[[ 9.4009418e-04 -3.0254703e-06  2.2454860e-03 ...  6.3155463e-04
  -2.2433507e-03  3.3947382e-02]]","[[ 0.0167795  -0.00011786 -0.00165597 ...  0.01060321  0.00501328
   0.02375514]]"
15,LASER,7,ثروت چیز خوبی است,1412,آن مطرب ما خوشست و چنگش دیوانه شود دل از ترنگش چون چنگ زند یکی تو بنگر کز لطف چگونه گشت رنگش گر تنگ آیی ز زندگانی برجه به کنار گیر تنگش,2,"[[ 9.4009418e-04 -3.0254703e-06  2.2454860e-03 ...  6.3155463e-04
  -2.2433507e-03  3.3947382e-02]]","[[ 0.01294566 -0.00010738  0.00206375 ...  0.00247155  0.00896251
   0.02717411]]"
16,LASER,8,باید قبل از سخن گفتن فکر کرد.,1213,شعر من نان مصر را ماند شب بر او بگذرد نتانی خورد آن زمانش بخور که تازه بود پیش از آنک بر او نشیند گرد گرمسیر ضمیر جای ویست می بمیرد در این جهان از برد همچو ماهی دمی به خشک طپید ساعتی دیگرش ببینی سرد ور خوری بر خیال تازگیش بس خیالات نقش باید کرد آنچ نوشی خیال تو باشد نبود گفتن کهن ای مرد,1,"[[ 0.00333616 -0.00017176  0.00010727 ...  0.00500402  0.01580296
   0.02761766]]","[[ 8.2922224e-03 -3.6699774e-05  3.1343473e-03 ...  1.2968825e-02
   4.6077906e-03  2.8918434e-02]]"
17,LASER,8,باید قبل از سخن گفتن فکر کرد.,2507,چون سوی برادری بپویی باید که نخست رو بشویی در سر ز خمارت ار صداعی است تصدیع برادران نجویی یا بوی بغل ز خود برانی یا ترک کنار دوست گویی در سور مهی بنفشه مویی کی شرط بود که تو بمویی بی دام اگرت شکار باید می دانک چو من محال جویی ور گوش تو گرم شد ز مستی صوفی سماع و های و هویی ور هوش تو بی خبر شد از گوش یک توی نه ای هزارتویی,2,"[[ 0.00333616 -0.00017176  0.00010727 ...  0.00500402  0.01580296
   0.02761766]]",[[0.00223622 0.04677695 0.00181043 ... 0.00939617 0.00974045 0.01799726]]
18,LASER,9,باید قدردان دارایی‌های خودمان باشیم,2065,نحن الی سیدنا راجعون طیبه النفس به طایعون سیدنا یصبح یبتا عنا انفسنا نحن له بایعون یفسد ان جاع الی موکل نحن الی نظرته جایعون سوف تلاقیه به میعاده تحسب انا ابدا ضایعون,1,"[[ 0.0065572  -0.00011245  0.00351247 ... -0.00013807  0.00767694
   0.03940542]]",[[0.00051806 0.00121766 0.01415103 ... 0.0076396  0.01014341 0.00597498]]
19,LASER,9,باید قدردان دارایی‌های خودمان باشیم,1555,زهی سرگشته در عالم سر و سامان که من دارم زهی در راه عشق تو دل بریان که من دارم وگر در راه بازار غم عشقت خریدارم به صد جان ها بنفروشم ز عشقت آنچ من دارم,2,"[[ 0.0065572  -0.00011245  0.00351247 ... -0.00013807  0.00767694
   0.03940542]]","[[ 5.0268262e-03 -6.6934677e-05  9.4695133e-04 ...  6.2977360e-03
   1.2607109e-02  1.2850134e-02]]"
20,LASER,10,نباید عیبی که خودمان داریم را به دیگران نسبت دهیم,2065,نحن الی سیدنا راجعون طیبه النفس به طایعون سیدنا یصبح یبتا عنا انفسنا نحن له بایعون یفسد ان جاع الی موکل نحن الی نظرته جایعون سوف تلاقیه به میعاده تحسب انا ابدا ضایعون,1,"[[ 2.6845476e-02 -6.2143139e-05  2.0229012e-02 ...  4.0284228e-03
   1.1998653e-02  2.9774996e-02]]",[[0.00051806 0.00121766 0.01415103 ... 0.0076396  0.01014341 0.00597498]]
21,LASER,10,نباید عیبی که خودمان داریم را به دیگران نسبت دهیم,1281,گفتی که زیان کنی زیان گیر گفتی که تو ملحدی چنان گیر گفتی که تو روبهی نه ای شیر ما را سقط همه سگان گیر گفتی که ز دل خبر نداری ای مونس دل مرا زبان گیر,2,"[[ 2.6845476e-02 -6.2143139e-05  2.0229012e-02 ...  4.0284228e-03
   1.1998653e-02  2.9774996e-02]]","[[ 0.00607845  0.00068702 -0.00016083 ...  0.00922954  0.01991245
   0.02775399]]"
22,LASER,11,باید به یتیمان کمک کرد,687,جائ الربیع مفتخرا فی جوارنا جائ الحبیب مبتسما وسط دارنا طیبوا و اکرموا و تعالوا التشربوا عند الحبیب مبتشرا فی عقارنا من رام مغنما و تصدی جواهرا فلیلزم الجواری وسط بحارنا,1,"[[ 0.00144632 -0.00024046  0.0001544  ...  0.01692098  0.00749815
   0.00749775]]","[[4.0168641e-03 5.0397980e-06 1.0734847e-02 ... 3.6116321e-02
  4.5310385e-03 2.1613497e-02]]"
23,LASER,11,باید به یتیمان کمک کرد,2729,نیست عجب صف زده پیش سلیمان پری صف سلیمان نگر پیش رخ آن پری آن پریی کز رخش گشت بشر چون ملک یافت فراغت ز رنج وز غم درمان پری تربیت آن پری چشم بشر باز کرد یافته دیو و ملک گوهر جان زان پری ما و منی پاک رفت مائ منی خشک شد گشت پری آدمی هم شد انسان پری دیده جان شمس دین مفخر تبریز و جان شاد ز عشق رخش شادتر از جان پری,2,"[[ 0.00144632 -0.00024046  0.0001544  ...  0.01692098  0.00749815
   0.00749775]]",[[0.01223935 0.0054789  0.00257657 ... 0.03574815 0.01729656 0.01108293]]
24,LASER,12,انسان واقعی در برابر ظلم سکوت نمی‌کند,723,زان شاه که او را هوس طبل و علم نیست دیوانه شدم بر سر دیوانه قلم نیست از دور ببینی تو مرا شخص رونده آن شخص خیالست ولی غیر عدم نیست پیش آ و عدم شو که عدم معدن جانست اما نه چنین جان که بجز غصه و غم نیست من بی من و تو بی تو درآییم در این جو زیرا که در این خشک بجز ظلم و ستم نیست این جوی کند غرقه ولیکن نکشد مرد کو آب حیاتست و بجز لطف و کرم نیست,1,"[[ 0.00075342 -0.00049264  0.02172058 ...  0.02353255  0.02051172
   0.02111534]]","[[ 1.0931170e-02 -3.3644243e-05  2.4819204e-03 ...  5.4217256e-03
   1.7666165e-02  1.4222737e-02]]"
25,LASER,12,انسان واقعی در برابر ظلم سکوت نمی‌کند,1703,علم عشق برآمد برهانم ز زحیرم به لب چشمه حیوان بکشم پای بمیرم به که مانم به که مانم که سطرلاب جهانم چو قضا حکم روانم نه امیرم نه وزیرم بروی ای عالم هستی همه را پای ببستی تو اگر جان منستی نپذیرم نپذیرم,2,"[[ 0.00075342 -0.00049264  0.02172058 ...  0.02353255  0.02051172
   0.02111534]]","[[ 4.8937737e-03 -4.1476618e-05  4.3802285e-03 ...  5.8385124e-03
   4.8457053e-03  1.1608249e-02]]"
26,LASER,13,باید بخشنده باشیم,2065,نحن الی سیدنا راجعون طیبه النفس به طایعون سیدنا یصبح یبتا عنا انفسنا نحن له بایعون یفسد ان جاع الی موکل نحن الی نظرته جایعون سوف تلاقیه به میعاده تحسب انا ابدا ضایعون,1,"[[5.8977824e-04 1.5893203e-05 1.6293608e-02 ... 7.7687590e-03
  3.7934285e-02 8.1563182e-03]]",[[0.00051806 0.00121766 0.01415103 ... 0.0076396  0.01014341 0.00597498]]
27,LASER,13,باید بخشنده باشیم,1919,ای دوست عتاب را رها کن تدبیر دوای درد ما کن ای دوست جدا مشو تو از ما ما را ز بلا و غم جدا کن اندیشه چو دزد در دل افتاد مستم کن و دزد را فنا کن شادی ز میان غم برانگیز در عالم بی وفا وفا کن,2,"[[5.8977824e-04 1.5893203e-05 1.6293608e-02 ... 7.7687590e-03
  3.7934285e-02 8.1563182e-03]]","[[ 6.5841181e-03 -6.0666214e-05  3.2850564e-03 ...  5.9605055e-03
   1.6503111e-02  5.5469114e-05]]"
28,LASER,14,باید حق‌جو وعدالت‌پیشه باشیم,2290,فدیتتک یا ستی الناسیه الی کم تشد فم الخابیه الا فاملای منه لی کاسه تذکرنی صفوه ناسیه فما کاسه منه الا نجی و تاتی باخت لها آبیه,1,"[[4.0458050e-03 1.9489114e-05 9.0207171e-04 ... 2.8033799e-03
  6.3439971e-03 1.8883845e-02]]","[[ 0.0167795  -0.00011786 -0.00165597 ...  0.01060321  0.00501328
   0.02375514]]"
29,LASER,14,باید حق‌جو وعدالت‌پیشه باشیم,1920,ای عربده کرده دوش با من می خورده و کرده جوش با من ای جان به حق وصال دوشین در خشم چنین مکوش با من گر با تو ز من بدی بگفتید با بنده بگو مپوش با من,2,"[[4.0458050e-03 1.9489114e-05 9.0207171e-04 ... 2.8033799e-03
  6.3439971e-03 1.8883845e-02]]","[[ 2.0160216e-03 -2.2304177e-05  8.0570122e-03 ...  1.3515984e-02
   1.9030575e-02  2.7220841e-02]]"
30,LASER,15,کنترل نکردن زبان انسان را بی‌ارزش می‌کند.,1281,گفتی که زیان کنی زیان گیر گفتی که تو ملحدی چنان گیر گفتی که تو روبهی نه ای شیر ما را سقط همه سگان گیر گفتی که ز دل خبر نداری ای مونس دل مرا زبان گیر,1,"[[ 0.00594497 -0.00010064  0.00041128 ...  0.01334685  0.01324414
   0.03680826]]","[[ 0.00607845  0.00068702 -0.00016083 ...  0.00922954  0.01991245
   0.02775399]]"
31,LASER,15,کنترل نکردن زبان انسان را بی‌ارزش می‌کند.,2290,فدیتتک یا ستی الناسیه الی کم تشد فم الخابیه الا فاملای منه لی کاسه تذکرنی صفوه ناسیه فما کاسه منه الا نجی و تاتی باخت لها آبیه,2,"[[ 0.00594497 -0.00010064  0.00041128 ...  0.01334685  0.01324414
   0.03680826]]","[[ 0.0167795  -0.00011786 -0.00165597 ...  0.01060321  0.00501328
   0.02375514]]"
32,LASER,16,نباید از دیگران درخواست های متعدد داشت,906,یکی گولی همی خواهم که در دلبر نظر دارد نمی خواهم هنرمندی که دیده در هنر دارد دلی همچون صدف خواهم که در جان گیرد آن گوهر دل سنگین نمی خواهم که پندار گهر دارد ز خودبینی جدا گشته پر از عشق خدا گشته ز مالش های غم غافل به مالنده عبر دارد,1,"[[ 3.8175348e-02 -2.1831013e-06  1.6906104e-03 ...  8.4535702e-04
   1.4507822e-02  2.0851033e-02]]","[[ 4.8845476e-03 -5.7281599e-05  6.9777016e-04 ...  3.6312372e-03
   8.1543308e-03  3.9101034e-02]]"
33,LASER,16,نباید از دیگران درخواست های متعدد داشت,2605,نیستی عاشق ای جلف شکم خوار گدای در فروبند و همان گنده کسان را می گای کار بوزینه نبوده ست فن نجاری دعوی یافه مکن یافه مگو ژاژ مخای عاشقی را تو کیی عشق چه درخورد توست شرم دار ای سگ زن روسبی آخر ز خدای,2,"[[ 3.8175348e-02 -2.1831013e-06  1.6906104e-03 ...  8.4535702e-04
   1.4507822e-02  2.0851033e-02]]","[[ 8.4738433e-03 -3.4565575e-05 -7.4240874e-04 ... -7.3159457e-04
   9.0078339e-03  1.7762877e-02]]"
34,LASER,17,آزار دیگران یکی از صفات مذموم است که باید از آن پرهیز کرد,1412,آن مطرب ما خوشست و چنگش دیوانه شود دل از ترنگش چون چنگ زند یکی تو بنگر کز لطف چگونه گشت رنگش گر تنگ آیی ز زندگانی برجه به کنار گیر تنگش,1,"[[ 0.04510034 -0.0001079   0.00115818 ...  0.01884514  0.03355652
   0.04283478]]","[[ 0.01294566 -0.00010738  0.00206375 ...  0.00247155  0.00896251
   0.02717411]]"
35,LASER,17,آزار دیگران یکی از صفات مذموم است که باید از آن پرهیز کرد,1356,عار بادا جهانیان را عار از دو سه ماده ابله طرار شکلک زاهدان ولی ز درون لیس فی الدار سیدی دیار به دو پول سیاه بتوان یافت زین چنین خربطان دو سه خروار,2,"[[ 0.04510034 -0.0001079   0.00115818 ...  0.01884514  0.03355652
   0.04283478]]","[[ 5.8419481e-03  1.6279215e-03 -4.7541507e-06 ...  1.6262712e-02
   2.0888185e-02  1.0610697e-02]]"
36,LASER,18,نباید اندوهگین شد,906,یکی گولی همی خواهم که در دلبر نظر دارد نمی خواهم هنرمندی که دیده در هنر دارد دلی همچون صدف خواهم که در جان گیرد آن گوهر دل سنگین نمی خواهم که پندار گهر دارد ز خودبینی جدا گشته پر از عشق خدا گشته ز مالش های غم غافل به مالنده عبر دارد,1,"[[ 4.0874558e-05 -1.4626814e-04  2.7156135e-03 ...  8.6285807e-03
   6.6653281e-02 -5.5837195e-04]]","[[ 4.8845476e-03 -5.7281599e-05  6.9777016e-04 ...  3.6312372e-03
   8.1543308e-03  3.9101034e-02]]"
37,LASER,18,نباید اندوهگین شد,1817,چند گهی فاتحه خوانت کنم از پس آن شاه جهانت کنم پیر شدی در غم ما باک نیست پیر بیا تا که جوانت کنم هیچ غم جان مخور ار جان برفت بگلر لشکرگه جانت کنم آنچ محال است تصور دهم وجه محالیش بیانت کنم ره دهمت تا به اصول اصول راه چه باشد که چنانت کنم گر چه کلیمی همه در اعتراض کشف کنم خضر زمانت کنم,2,"[[ 4.0874558e-05 -1.4626814e-04  2.7156135e-03 ...  8.6285807e-03
   6.6653281e-02 -5.5837195e-04]]",[[0.00178802 0.00832212 0.00234656 ... 0.0191756  0.01643233 0.03082275]]
38,LASER,19,باید اهل یادگیری و دانش باشیم,1671,ما شاخ گلیم نی گیاهیم ما شیوه تر و تازه خواهیم اشکوفه باغ آسمانیم نقل و می مجلس الهیم ما جوی نه ایم بلک آبیم ما ابر نه ایم بلک ماهیم لوح و قلمیم نی حروفیم تیغ و علمیم نی سپاهیم هم خسته غمزه چو تیریم هم بسته طره سیاهیم,1,"[[ 0.00137201  0.00016719 -0.00057697 ...  0.00093856  0.00680032
   0.00805814]]","[[ 0.00592854  0.00310476  0.00060488 ... -0.00134739 -0.0018368
   0.01532904]]"
39,LASER,19,باید اهل یادگیری و دانش باشیم,1723,تا که ما از نظر و خوبی تو باخبریم از بد و نیک جهان همچو جهان بی خبریم نظری کرد سوی خوبی تو دیده ما از پیروی تو تا حشر غلام نظریم دین ما مهر تو و مذهب ما خدمت تو تا نگویی که در این عشق تو ما مختصریم زهر بر یاد یکی نوش تو ای آهوچشم گر به از نوش ننوشیم پس از سگ بتریم,2,"[[ 0.00137201  0.00016719 -0.00057697 ...  0.00093856  0.00680032
   0.00805814]]",[[0.00356837 0.04519729 0.00505056 ... 0.0261672  0.00372384 0.02643526]]
40,LASER,20,باید مهربان بود,1412,آن مطرب ما خوشست و چنگش دیوانه شود دل از ترنگش چون چنگ زند یکی تو بنگر کز لطف چگونه گشت رنگش گر تنگ آیی ز زندگانی برجه به کنار گیر تنگش,1,"[[-2.8171539e-04 -5.0176973e-06  2.5408873e-03 ...  1.1221699e-02
   2.5694650e-02  1.0151894e-02]]","[[ 0.01294566 -0.00010738  0.00206375 ...  0.00247155  0.00896251
   0.02717411]]"
41,LASER,20,باید مهربان بود,735,شنیدم مر مرا لطفت دعا گفت برای بنده خود لطف ها گفت چه گویم من مکافات تو ای جان که نیکی تو را جانا خدا گفت ولیکن جان این کمتر دعاگو همه شب روی ماهت را دعا گفت,2,"[[-2.8171539e-04 -5.0176973e-06  2.5408873e-03 ...  1.1221699e-02
   2.5694650e-02  1.0151894e-02]]",[[0.0036464  0.00622358 0.00198872 ... 0.01604513 0.02183349 0.01359202]]
42,LASER,21,آخرت را بر دنیا باید ترجیح داد,2506,ای بی تو حرام زندگانی خود بی تو کدام زندگانی بی روی خوش تو زنده بودن مرگ است به نام زندگانی پازهر تویی و زهر دنیا دانه تو و دام زندگانی گوهر تو و این جهان چو حقه باده تو و جام زندگانی بی آب تو گلستان چو شوره بی جوش تو خام زندگانی بی خوبی حسن باقوامت نگرفته قوام زندگانی با جمله مراد و کام بی تو نایافته کام زندگانی تا داد سلامتی ندادی کی کرد سلام زندگانی خامش کردم بکن تو شاهی پیش تو غلام زندگانی,1,"[[-2.2283115e-04 -1.6075460e-07 -3.2927252e-05 ... -3.2623223e-06
  -3.0708677e-04  4.7693667e-03]]","[[-1.52327830e-05 -5.30714495e-09 -1.38930773e-06 ...  1.16829324e-04
  -2.51354086e-05  1.39422787e-04]]"
43,LASER,21,آخرت را بر دنیا باید ترجیح داد,720,از دفتر عمر ما یکتا ورقی مانده ست کز غیرت لطف آن جان در قلقی مانده ست بنوشته بر آن دفتر حرفی ز شکر خوشتر از خجلت آن حرفش مه در عرقی مانده ست عمر ابدی تابان اندر ورق بستان نی خوف ز تحویلی نی جای دقی مانده ست نامش ورقی بوده ملک ابد اندر وی اسرار همه پاکان آن جا شفقی مانده ست پیچیده ورق بر وی نوری ز خداوندی شمس الحق تبریزی روشن حدقی مانده ست,2,"[[-2.2283115e-04 -1.6075460e-07 -3.2927252e-05 ... -3.2623223e-06
  -3.0708677e-04  4.7693667e-03]]",[[0.01119834 0.00244316 0.00222622 ... 0.01863383 0.01317728 0.0333399 ]]
44,LASER,22,میزان موفقیت به اندازه میزان رنج و تلاش است,1555,زهی سرگشته در عالم سر و سامان که من دارم زهی در راه عشق تو دل بریان که من دارم وگر در راه بازار غم عشقت خریدارم به صد جان ها بنفروشم ز عشقت آنچ من دارم,1,"[[-0.00063733 -0.00016061  0.00084269 ...  0.01732044  0.01486191
   0.0125076 ]]","[[ 5.0268262e-03 -6.6934677e-05  9.4695133e-04 ...  6.2977360e-03
   1.2607109e-02  1.2850134e-02]]"
45,LASER,22,میزان موفقیت به اندازه میزان رنج و تلاش است,2285,مطرب جان های دل برده تا به شب تا به شب همین پرده جان هایی که مست و مخمورند بر سر باده باده ای خورده در خرابات مفردان رفته خرقه آب و گل گرو کرده,2,"[[-0.00063733 -0.00016061  0.00084269 ...  0.01732044  0.01486191
   0.0125076 ]]","[[ 0.0068154  -0.00062875  0.00137338 ...  0.02597952  0.01202569
   0.02072587]]"
46,LASER,23,باید فرزندان خود را به خوبی تربیت کنیم,2065,نحن الی سیدنا راجعون طیبه النفس به طایعون سیدنا یصبح یبتا عنا انفسنا نحن له بایعون یفسد ان جاع الی موکل نحن الی نظرته جایعون سوف تلاقیه به میعاده تحسب انا ابدا ضایعون,1,"[[ 0.00290889 -0.0001101   0.00229777 ...  0.00205643  0.01013283
   0.00560831]]",[[0.00051806 0.00121766 0.01415103 ... 0.0076396  0.01014341 0.00597498]]
47,LASER,23,باید فرزندان خود را به خوبی تربیت کنیم,2507,چون سوی برادری بپویی باید که نخست رو بشویی در سر ز خمارت ار صداعی است تصدیع برادران نجویی یا بوی بغل ز خود برانی یا ترک کنار دوست گویی در سور مهی بنفشه مویی کی شرط بود که تو بمویی بی دام اگرت شکار باید می دانک چو من محال جویی ور گوش تو گرم شد ز مستی صوفی سماع و های و هویی ور هوش تو بی خبر شد از گوش یک توی نه ای هزارتویی,2,"[[ 0.00290889 -0.0001101   0.00229777 ...  0.00205643  0.01013283
   0.00560831]]",[[0.00223622 0.04677695 0.00181043 ... 0.00939617 0.00974045 0.01799726]]
48,LASER,24,باید در برابر مشکلات استقامت داشته باشیم,2859,طارت حیلی و زال حیلی اصبحت مکابدا لویلی قد اظلم بالجوی نهاری کیف اخبرکم انا بلیلی ما املائ عصتی و وجدی ما افرع من رضاک کیلی,1,"[[5.0015226e-03 6.0587190e-05 1.3374460e-02 ... 9.7392108e-03
  3.1655040e-02 1.6113859e-02]]","[[ 7.5974371e-03 -7.9355450e-05  3.1026863e-03 ... -9.9015352e-04
   5.7138898e-03  9.4383508e-03]]"
49,LASER,24,باید در برابر مشکلات استقامت داشته باشیم,1555,زهی سرگشته در عالم سر و سامان که من دارم زهی در راه عشق تو دل بریان که من دارم وگر در راه بازار غم عشقت خریدارم به صد جان ها بنفروشم ز عشقت آنچ من دارم,2,"[[5.0015226e-03 6.0587190e-05 1.3374460e-02 ... 9.7392108e-03
  3.1655040e-02 1.6113859e-02]]","[[ 5.0268262e-03 -6.6934677e-05  9.4695133e-04 ...  6.2977360e-03
   1.2607109e-02  1.2850134e-02]]"
50,LASER,25,بخشی از زمان هر روز را باید به تفریح و بخش دیگری را به کار اختصاص داد,2285,مطرب جان های دل برده تا به شب تا به شب همین پرده جان هایی که مست و مخمورند بر سر باده باده ای خورده در خرابات مفردان رفته خرقه آب و گل گرو کرده,1,"[[ 0.02445431 -0.00027549  0.00305093 ...  0.00450747  0.01264203
   0.02758254]]","[[ 0.0068154  -0.00062875  0.00137338 ...  0.02597952  0.01202569
   0.02072587]]"
