,Unnamed: 0,input_id,output_id,input_text,output_text,chapter,tag
731,427,36,1854,باید اهل یاری کردن یکدیگر بود,چه باشد پیشه عاشق بجز دیوانگی کردن چه باشد ناز معشوقان بجز بیگانگی کردن ز هر ذره بیاموزید پیش نور برجستن ز پروانه بیاموزید آن مردانگی کردن چو شیر مست بیرون جه نه اول دان و نه آخر که آید ننگ شیران را ز روبه شانگی کردن سرافراز است که لیکن نداند ذره باشیدن چه گویم باز را لیکن کجا پروانگی کردن به پیش تیر چون اسپر برهنه زخم را جستن میان کوره با آتش چو زر همخانگی کردن گر آب جوی شیرین است ولی کو هیبت دریا کجا فرزین شه بودن کجا فرزانگی کردن تویی پیمانه اسرار گوش و چشم را بربند نتاند کاسه سوراخ خود پیمانگی کردن اگر باشد شبی روشن کجا باشد به جای روز وگر باشد شبه تابان کجا دردانگی کردن,1848,0
764,463,36,4733,باید اهل یاری کردن یکدیگر بود,Don't let the bastards grind you down,,0
771,471,36,2041,باید اهل یاری کردن یکدیگر بود,چند نظاره جهان کردن آب را زیر که نهان کردن رنج گوید که گنج آوردم رنج را باید امتحان کردن آنک از شیر خون روان کرده ست شیر داند ز خون روان کردن آسمان را چو کرد همچون خاک خاک را داند آسمان کردن بعد از این شیوه دگر گیرم چند بیگار دیگران کردن تیز برداشتی تو ای مطرب این به آهستگی توان کردن این گران زخمه ای است نتوانیم رقص بر پرده گران کردن یک دو ابریشمک فروتر گیر تا توانیم فهم آن کردن اندک اندک ز کوه سنگ کشند نتوان کوه را کشان کردن تا نبینند جان جان ها را کی توان سهل ترک جان کردن بنما ای ستاره کاندر ریگ نتوان راه بی نشان کردن,2099,0
112,323,36,5059,باید اهل یاری کردن یکدیگر بود,"Sometimes, the best way to help someone is just to be near them",,2
719,415,45,1183,باید به پدر و مادر احترام گذاشت,به پیش تو چه زند جان و جان کدام بود که جان تویی و دگر جمله نقش و نام بود اگر چه ماه به ده دست روی خود شوید چه زهره دارد کان چهره را غلام بود اگر چه عاشقی و عشق بهترین کار است بدانک بی رخ معشوق ما حرام بود به جان عشق که تا هر دو جان نیامیزد جداییست و ملاقات بی نظام بود شراب لطف خداوند را کرانی نیست وگر کرانه نماید قصور جام بود به قدر روزنه افتد به خانه نور قمر اگر به مشرق و مغرب ضیاش عام بود تو جام هستی خود را برو قوامی ده که آن شراب قدیمست و باقوام بود هزار جان طلبید و یکی ببردم پیش بگفت باقی گفتم بهل که وام بود رفیق گشته دو چشمش میان خوف و رجا برای پختن هر عاشقی که خام بود هزار خانه به تاراج برد و خوش قنقیست سلامتی همه تاراج آن سلام بود درون خانه بود نقش ها نه آن نقاش به سوی بام نگر کان قمر به بام بود رسید مژده به شامست شمس تبریزی چه صبح ها که نماید اگر به شام بود,939,0
759,458,45,4333,باید به پدر و مادر احترام گذاشت,You never know what worse luck your bad luck has saved you from,,0
792,492,45,1228,باید به پدر و مادر احترام گذاشت,گفت کسی خواجه سنایی بمرد مرگ چنین خواجه نه کاریست خرد کاه نبود او که به بادی پرید آب نبود او که به سرما فسرد شانه نبود او که به مویی شکست دانه نبود او که زمینش فشرد گنج زری بود در این خاکدان کو دو جهان را بجوی می شمرد قالب خاکی سوی خاکی فکند جان خرد سوی سماوات برد جان دوم را که ندانند خلق مغلطه گوییم به جانان سپرد صاف درآمیخت به دردی می بر سر خم رفت جدا شد ز درد در سفر افتند به هم ای عزیز مرغزی و رازی و رومی و کرد خانه خود بازرود هر یکی اطلس کی باشد همتای برد خامش کن چون نقط ایرا ملک نام تو از دفتر گفتن سترد,996,0
119,340,45,4745,باید به پدر و مادر احترام گذاشت,I must have loved you a lot,,0
722,418,29,131,باید به زیر دستان احترام گذاشت,به آب روشن می عارفی طهارت کرد علی الصباح که میخانه را زیارت کرد همین که ساغر زرین خور نهان گردید هلال عید به دور قدح اشارت کرد خوشا نماز و نیاز کسی که از سر درد به آب دیده و خون جگر طهارت کرد امام خواجه که بودش سر نماز دراز به خون دختر رز خرقه را قصارت کرد دلم ز حلقه زلفش به جان خرید آشوب چه سود دید ندانم که این تجارت کرد اگر امام جماعت طلب کند امروز خبر دهید که حافظ به می طهارت کرد,غزل    ۱۳۲,0
106,308,29,3229,باید به زیر دستان احترام گذاشت,We accept the love we think we deserve,,0
107,309,29,4514,باید به زیر دستان احترام گذاشت,"You should never be surprised when someone treats you with respect, you should expect it",,1
711,407,34,3690,باید به قلب و احساسات توجه کرد,"For you, a thousand times ove",,0
720,416,34,3134,باید به قلب و احساسات توجه کرد,بلا ندیده دعا را شروع باید کرد علاج واقعه پیش از وقوع باید کرد,,0
730,426,34,131,باید به قلب و احساسات توجه کرد,به آب روشن می عارفی طهارت کرد علی الصباح که میخانه را زیارت کرد همین که ساغر زرین خور نهان گردید هلال عید به دور قدح اشارت کرد خوشا نماز و نیاز کسی که از سر درد به آب دیده و خون جگر طهارت کرد امام خواجه که بودش سر نماز دراز به خون دختر رز خرقه را قصارت کرد دلم ز حلقه زلفش به جان خرید آشوب چه سود دید ندانم که این تجارت کرد اگر امام جماعت طلب کند امروز خبر دهید که حافظ به می طهارت کرد,غزل    ۱۳۲,1
744,442,34,2956,باید به قلب و احساسات توجه کرد,آسایش تن، غافلم از یاد خدا کرد همواری این راه مرا سر به هوا کرد,,0
749,447,11,131,باید به یتیمان کمک کرد,به آب روشن می عارفی طهارت کرد علی الصباح که میخانه را زیارت کرد همین که ساغر زرین خور نهان گردید هلال عید به دور قدح اشارت کرد خوشا نماز و نیاز کسی که از سر درد به آب دیده و خون جگر طهارت کرد امام خواجه که بودش سر نماز دراز به خون دختر رز خرقه را قصارت کرد دلم ز حلقه زلفش به جان خرید آشوب چه سود دید ندانم که این تجارت کرد اگر امام جماعت طلب کند امروز خبر دهید که حافظ به می طهارت کرد,غزل    ۱۳۲,0
733,429,5,3690,باید تجارب خود را به افراد دیگر منتقل کنیم,"For you, a thousand times ove",,0
751,449,5,5513,باید تجارب خود را به افراد دیگر منتقل کنیم,و قال ع ما اکثر العبر و اقل الاعتبار,297,1
770,470,14,3851,باید حق‌جو وعدالت‌پیشه باشیم,"Wow,"" Thalia muttered. ""Apollo is hot."" ""He's the sun god,"" I said.""That's not what I meant",,0
787,487,14,336,باید حق‌جو وعدالت‌پیشه باشیم,چرا نه در پی عزم دیار خود باشم چرا نه خاک سر کوی یار خود باشم غم غریبی و غربت چو بر نمی‌تابم به شهر خود روم و شهریار خود باشم ز محرمان سراپرده وصال شوم ز بندگان خداوندگار خود باشم چو کار عمر نه پیداست باری آن اولی که روز واقعه پیش نگار خود باشم ز دست بخت گران خواب و کار بی‌سامان گرم بود گله‌ای رازدار خود باشم همیشه پیشه من عاشقی و رندی بود دگر بکوشم و مشغول کار خود باشم بود که لطف ازل رهنمون شود حافظ وگرنه تا به ابد شرمسار خود باشم,غزل    ۳۳۷,0
784,484,0,5469,باید حقوق دیگران را رعایت کنیم,و قال ع اذا ازدحم الجواب خفی‌ الصواب,243,0
716,412,3,3213,باید خاک وطن را دوست داشت,خوردن خاک قناعت بر ارباب خرد به ز نانی که در او منت دونان باشد,,0
748,446,3,5442,باید خاک وطن را دوست داشت,و قال ع الخلاف یهدم الرای‌,215,0
729,425,44,2911,باید خسیس باشیم,هر که بود عاشق خود پنج نشان دارد سخت دل و سست قدم و کاهل و بیکار و ترش,,0
118,339,44,5162,باید خسیس باشیم,I just want to be wonderful,,0
769,469,37,3851,باید در هنگام پیمان بستن دقت کنیم,"Wow,"" Thalia muttered. ""Apollo is hot."" ""He's the sun god,"" I said.""That's not what I meant",,0
710,406,42,5642,باید سختی‌ها را تحمل کرد,و قال ع ما انقض النوم لعزائم الیوم,440,0
767,467,42,129,باید سختی‌ها را تحمل کرد,سحر بلبل حکایت با صبا کرد که عشق روی گل با ما چه‌ها کرد از آن رنگ رخم خون در دل افتاد و از آن گلشن به خارم مبتلا کرد غلام همت آن نازنینم که کار خیر بی روی و ریا کرد من از بیگانگان دیگر ننالم که با من هر چه کرد آن آشنا کرد گر از سلطان طمع کردم خطا بود ور از دلبر وفا جستم جفا کرد خوشش باد آن نسیم صبحگاهی که درد شب نشینان را دوا کرد نقاب گل کشید و زلف سنبل گره بند قبای غنچه وا کرد به هر سو بلبل عاشق در افغان تنعم از میان باد صبا کرد بشارت بر به کوی می فروشان که حافظ توبه از زهد ریا کرد وفا از خواجگان شهر با من کمال دولت و دین بوالوفا کرد,غزل    ۱۳۰,1
740,438,40,5073,باید سعی کنیم نیکو عمل کنیم,"To survive, you must tell stories",,0
786,486,40,243,باید سعی کنیم نیکو عمل کنیم,معاشران گره از زلف یار باز کنید شبی خوش است بدین قصه‌اش دراز کنید حضور خلوت انس است و دوستان جمعند و ان یکاد بخوانید و در فراز کنید رباب و چنگ به بانگ بلند می‌گویند که گوش هوش به پیغام اهل راز کنید به جان دوست که غم پرده بر شما ندرد گر اعتماد بر الطاف کارساز کنید میان عاشق و معشوق فرق بسیار است چو یار ناز نماید شما نیاز کنید نخست موعظه پیر صحبت این حرف است که از مصاحب ناجنس احتراز کنید هر آن کسی که در این حلقه نیست زنده به عشق بر او نمرده به فتوای من نماز کنید وگر طلب کند انعامی از شما حافظ حوالتش به لب یار دلنواز کنید,غزل    ۲۴۴,0
788,488,40,5541,باید سعی کنیم نیکو عمل کنیم,و قال ع العمر الذی اعذر الله فیه الی ابن ادم ستون سنه,326,0
789,489,40,1514,باید سعی کنیم نیکو عمل کنیم,آمد بهار ای دوستان منزل سوی بستان کنیم گرد غریبان چمن خیزید تا جولان کنیم امروز چون زنبورها پران شویم از گل به گل تا در عسل خانه جهان شش گوشه آبادان کنیم آمد رسولی از چمن کاین طبل را پنهان مزن ما طبل خانه عشق را از نعره ها ویران کنیم بشنو سماع آسمان خیزید ای دیوانگان جانم فدای عاشقان امروز جان افشان کنیم زنجیرها را بردریم ما هر یکی آهنگریم آهن گزان چون کلبتین آهنگ آتشدان کنیم چون کوره آهنگران در آتش دل می دمیم کآهن دلان را زین نفس مستعمل فرمان کنیم آتش در این عالم زنیم وین چرخ را برهم زنیم وین عقل پابرجای را چون خویش سرگردان کنیم کوبیم ما بی پا و سر گه پای میدان گاه سر ما کی به فرمان خودیم تا این کنیم و آن کنیم نی نی چو چوگانیم ما در دست شه گردان شده تا صد هزاران گوی را در پای شه غلطان کنیم خامش کنیم و خامشی هم مایه دیوانگیست این عقل باشد کآتشی در پنبه پنهان کنیم,1370,0
114,330,40,5162,باید سعی کنیم نیکو عمل کنیم,I just want to be wonderful,,1
115,331,40,4635,باید سعی کنیم نیکو عمل کنیم,Try a little harder to be a little better,,2
777,477,28,455,باید شکرگزار باشیم,نوبهار است در آن کوش که خوشدل باشی که بسی گل بدمد باز و تو در گل باشی من نگویم که کنون با که نشین و چه بنوش که تو خود دانی اگر زیرک و عاقل باشی چنگ در پرده همین می‌دهدت پند ولی وعظت آن گاه کند سود که قابل باشی در چمن هر ورقی دفتر حالی دگر است حیف باشد که ز کار همه غافل باشی نقد عمرت ببرد غصه دنیا به گزاف گر شب و روز در این قصه مشکل باشی گر چه راهیست پر از بیم ز ما تا بر دوست رفتن آسان بود ار واقف منزل باشی حافظا گر مدد از بخت بلندت باشد صید آن شاهد مطبوع شمایل باشی,غزل    ۴۵۶,1
105,307,28,4745,باید شکرگزار باشیم,I must have loved you a lot,,0
760,459,23,3104,باید فرزندان خود را به خوبی تربیت کنیم,امیر قافله را هم تغافلی باید که نا‌امید نگردندقاطعان طریق,,0
781,481,23,618,باید فرزندان خود را به خوبی تربیت کنیم,از سینه پاک کردم افکار فلسفی را در دیده جای کردم اشکال یوسفی را نادر جمال باید کاندر زبان نیاید تا سجده راست آید مر آدم صفی را طوری چگونه طوری نوری چگونه نوری هر لحظه نور بخشد صد شمع منطفی را خورشید چون برآید هر ذره رو نماید نوری دگر بباید ذرات مختفی را اصل وجودها او دریای جودها او چون صید می کند او اشیائ منتفی را این جا کسیست پنهان خود را مگیر تنها بس تیز گوش دارد مگشا به بد زبان را,187,0
101,296,23,4164,باید فرزندان خود را به خوبی تربیت کنیم,We have to continually be jumping off cliffs and developing our wings on the way down,,0
102,297,23,4395,باید فرزندان خود را به خوبی تربیت کنیم,"Children must be taught how to think, not what to think",,2
721,417,8,1654,باید قبل از سخن گفتن فکر کرد.,یا رب توبه چرا شکستم وز لقمه دهان چرا نبستم گر وسوسه کرد گرد پیچم در پیچش او چرا نشستم آخر دیدم به عقل موضع صد بار و هزار بار رستم از بندگی خدا ملولم زیرا که به جان گلوپرستم خود من جعل المهوم هما از لفظ رسول خوانده استم چون بر دل من نشسته دودی چون زود چو گرد برنجستم این ها که نبشتم از ندامت آن وقت نبشته بود دستم,1557,0
723,419,8,4024,باید قبل از سخن گفتن فکر کرد.,Even the darkest night will end and the sun will rise,,0
743,441,8,3118,باید قبل از سخن گفتن فکر کرد.,از جمله رفتگان این راه دراز باز آمده کیست تا به ما گوید راز,,0
758,457,8,3134,باید قبل از سخن گفتن فکر کرد.,بلا ندیده دعا را شروع باید کرد علاج واقعه پیش از وقوع باید کرد,,0
774,474,8,403,باید قبل از سخن گفتن فکر کرد.,می‌فکن بر صف رندان نظری بهتر از این بر در میکده می کن گذری بهتر از این در حق من لبت این لطف که می‌فرماید سخت خوب است ولیکن قدری بهتر از این آن که فکرش گره از کار جهان بگشاید گو در این کار بفرما نظری بهتر از این ناصحم گفت که جز غم چه هنر دارد عشق برو ای خواجه عاقل هنری بهتر از این دل بدان رود گرامی چه کنم گر ندهم مادر دهر ندارد پسری بهتر از این من چو گویم که قدح نوش و لب ساقی بوس بشنو از من که نگوید دگری بهتر از این کلک حافظ شکرین میوه نباتیست به چین که در این باغ نبینی ثمری بهتر از این,غزل    ۴۰۴,0
785,485,8,4104,باید قبل از سخن گفتن فکر کرد.,Judge a man by his questions rather than by his answers,,1
713,409,9,5442,باید قدردان دارایی‌های خودمان باشیم,و قال ع الخلاف یهدم الرای‌,215,0
773,473,9,2964,باید قدردان دارایی‌های خودمان باشیم,حضور خاطر اگر در نماز معتبر است امید ما به نماز نکرده بیشتر است,,0
754,453,20,1218,باید مهربان بود,عشق را جان بی قرار بود یاد جان پیش عشق عار بود سر و جان پیش او حقیر بود هر که را در سر این خمار بود همه بر قلب می زند عاشق اندر آن صف که کارزار بود نکند جانب گریز نظر گر چه شمشیر صد هزار بود عشق خود مرغزار شیرانست کی سگی شیر مرغزار بود عشق جان ها در آستین دارد در ره عشق جان نثار بود نام و ناموس و شرم و اندیشه پیش جاروبشان غبار بود همه کس را شکار کرد بلا عاشقان را بلا شکار بود مر بلا را چنان به جان بخرند کان بلا نیز شرمسار بود جان عشق است شه صلاح الدین کو ز اسرار کردگار بود,986,0
782,482,20,215,باید مهربان بود,آن یار کز او خانه ما جای پری بود سر تا قدمش چون پری از عیب بری بود دل گفت فروکش کنم این شهر به بویش بیچاره ندانست که یارش سفری بود تنها نه ز راز دل من پرده برافتاد تا بود فلک شیوه او پرده دری بود منظور خردمند من آن ماه که او را با حسن ادب شیوه صاحب نظری بود از چنگ منش اختر بدمهر به دربرد آری چه کنم دولت دور قمری بود عذری بنه ای دل که تو درویشی و او را در مملکت حسن سر تاجوری بود اوقات خوش آن بود که با دوست به سر رفت باقی همه بی‌حاصلی و بی‌خبری بود خوش بود لب آب و گل و سبزه و نسرین افسوس که آن گنج روان رهگذری بود خود را بکش ای بلبل از این رشک که گل را با باد صبا وقت سحر جلوه گری بود هر گنج سعادت که خدا داد به حافظ از یمن دعای شب و ورد سحری بود,غزل    ۲۱۶,0
765,464,39,3690,باید وفای به عهد داشته باشیم,"For you, a thousand times ove",,0
737,434,25,3440,بخشی از زمان هر روز را باید به تفریح و بخش دیگری را به کار اختصاص داد,Well-behaved women seldom make history,,0
741,439,25,3,بخشی از زمان هر روز را باید به تفریح و بخش دیگری را به کار اختصاص داد,صبا به لطف بگو آن غزال رعنا را که سر به کوه و بیابان تو داده‌ای ما را شکرفروش که عمرش دراز باد چرا تفقدی نکند طوطی شکرخا را غرور حسنت اجازت مگر نداد ای گل که پرسشی نکنی عندلیب شیدا را به خلق و لطف توان کرد صید اهل نظر به بند و دام نگیرند مرغ دانا را ندانم از چه سبب رنگ آشنایی نیست سهی قدان سیه چشم ماه سیما را چو با حبیب نشینی و باده پیمایی به یاد دار محبان بادپیما را جز این قدر نتوان گفت در جمال تو عیب که وضع مهر و وفا نیست روی زیبا را در آسمان نه عجب گر به گفته حافظ سرود زهره به رقص آورد مسیحا را,غزل   ۴,0
772,472,25,597,بخشی از زمان هر روز را باید به تفریح و بخش دیگری را به کار اختصاص داد,بروید ای حریفان، بکشید یار ما را به من آورید آخر، صنم گریزپا را به ترانه های شیرین، به بهانه های زرین بکشید سوی خانه، مه خوب خوش لقا را اگر او به وعده گوید که: دمی دگر بیایم همه وعده مکر باشد، بفریبد او شما را دم سخت گرم دارد که به جادوئی و افسون بزند کره بر آب او و، ببندد او هوا را به مبارکی و شادی چو نگار من درآید بنشین نظاره میکن تو عجایب خدا را چو جمال او بتابد، چه بود جمال خوبان؟ که رخ چو آفتابش، بکشد چراغ ها را برو ای دل سبک رو، به یمن به دلبر من برسان سلام و خدمت، تو عقیق بی بها را,163,0
714,410,6,1938,تفاوت قائل شدن بین انسان‌ها درست است,هست عاقل هر زمانی در غم پیدا شدن هست عاشق هر زمانی بیخود و شیدا شدن عاقلان از غرقه گشتن بر گریز و بر حذر عاشقان را کار و پیشه غرقه دریا شدن عاقلان را راحت از راحت رسانیدن بود عاشقان را ننگ باشد بند راحت ها شدن عاشق اندر حلقه باشد از همه تن ها چنانک زیت را و آب را در یک محل تنها شدن و آنک باشد در نصیحت دادن عشاق عشق نیست او را حاصلی جز سخره سودا شدن عشق بوی مشک دارد زان سبب رسوا بود مشک را کی چاره باشد از چنین رسوا شدن عشق باشد چون درخت و عاشقان سایه درخت سایه گر چه دور افتد بایدش آن جا شدن بر مقام عقل باید پیر گشتن طفل را در مقام عشق بینی پیر را برنا شدن شمس تبریزی به عشقت هر کی او پستی گزید همچو عشق تو بود در رفعت و بالا شدن,1957,1
742,440,7,4593,ثروت چیز خوبی است,"Our mothers always remain the strangest, craziest people we've ever met",,0
755,454,7,4992,ثروت چیز خوبی است,Great minds discuss ideas. Average minds discuss events. Small minds discuss people,,0
756,455,38,3440,در انتخاب دوست باید دقت کنیم,Well-behaved women seldom make history,,0
113,327,38,4654,در انتخاب دوست باید دقت کنیم,Reading brings us unknown friend,,1
763,462,27,131,در کار خیر باید شتاب کرد و بدی را به تاخیر انداخت.,به آب روشن می عارفی طهارت کرد علی الصباح که میخانه را زیارت کرد همین که ساغر زرین خور نهان گردید هلال عید به دور قدح اشارت کرد خوشا نماز و نیاز کسی که از سر درد به آب دیده و خون جگر طهارت کرد امام خواجه که بودش سر نماز دراز به خون دختر رز خرقه را قصارت کرد دلم ز حلقه زلفش به جان خرید آشوب چه سود دید ندانم که این تجارت کرد اگر امام جماعت طلب کند امروز خبر دهید که حافظ به می طهارت کرد,غزل    ۱۳۲,0
775,475,27,3554,در کار خیر باید شتاب کرد و بدی را به تاخیر انداخت.,Get busy living or get busy dying,,1
104,305,27,3904,در کار خیر باید شتاب کرد و بدی را به تاخیر انداخت.,To go wrong in one's own way is better than to go right in someone else's,,0
718,414,41,3548,صبر یکی از صفات خردمندان است,Doubt thou the stars are fire;Doubt that the sun doth move;Doubt truth to be a liar;But never doubt I love,,0
790,490,41,3851,صبر یکی از صفات خردمندان است,"Wow,"" Thalia muttered. ""Apollo is hot."" ""He's the sun god,"" I said.""That's not what I meant",,0
750,448,15,5306,کنترل نکردن زبان انسان را بی‌ارزش می‌کند.,و قال ع المراه عقرب حلوه اللسبه,61,0
776,476,15,3,کنترل نکردن زبان انسان را بی‌ارزش می‌کند.,صبا به لطف بگو آن غزال رعنا را که سر به کوه و بیابان تو داده‌ای ما را شکرفروش که عمرش دراز باد چرا تفقدی نکند طوطی شکرخا را غرور حسنت اجازت مگر نداد ای گل که پرسشی نکنی عندلیب شیدا را به خلق و لطف توان کرد صید اهل نظر به بند و دام نگیرند مرغ دانا را ندانم از چه سبب رنگ آشنایی نیست سهی قدان سیه چشم ماه سیما را چو با حبیب نشینی و باده پیمایی به یاد دار محبان بادپیما را جز این قدر نتوان گفت در جمال تو عیب که وضع مهر و وفا نیست روی زیبا را در آسمان نه عجب گر به گفته حافظ سرود زهره به رقص آورد مسیحا را,غزل   ۴,0
780,480,15,1855,کنترل نکردن زبان انسان را بی‌ارزش می‌کند.,چرا کوشد مسلمان در مسلمان را فریبیدن بسی صنعت نمی باید پریشان را فریبیدن بدریدی همه هامون ز نقش لیلی و مجنون ولی چشمش نمی خواهد گران جان را فریبیدن نمی آید دریغ او را چو دریا گوهرافشانی ولیکن تو روا داری بدین آن را فریبیدن معلم خانه چشمش چه رسم آورد در عالم که طمع افتاد موران را سلیمان را فریبیدن دلم بدرید ز اندیشه شکسته گشته چون شیشه که عقل از چه طمع دارد نهان دان را فریبیدن برآمد عالم از صیقل چو جندرخانه شد گیتی که بشنیدند کو خواهد ملیحان را فریبیدن هر اندیشه که برجوشد روان گردد پی صیدی نمک ها را هوس چه بود نمکدان را فریبیدن پلیدی را بیاموزد بر آب پاک افزودن کلیدی را بیاموزد کلیدان را فریبیدن چو لونالون می داند شکنجه کردن آن قاهر چه رغبت دارد آن آتش سپندان را فریبیدن,1849,1
715,411,49,3156,لزوما رسیدن به چیزی که آرزو داریم به نفع ما نیست,جان رفت و ما به آرزوی دل نمی‌رسیم هرچند میرویم به منزل نمی‌رسیم,,-1
795,495,49,2973,لزوما رسیدن به چیزی که آرزو داریم به نفع ما نیست,رسد آدمی به جایی که به جز خدا نبیند بنگر که تا چه حد است مکان آدمیت,,0
799,499,49,2789,لزوما رسیدن به چیزی که آرزو داریم به نفع ما نیست,هم ایثار کردی هم ایثار گفتی که از جور دوری و با لطف جفتی چراغ خدایی به جایی که آیی حیات جهانی به هر جا که افتی تو قانون شادی به عالم نهادی چه ها بخش کردی چه درها که سفتی ولیکن ز مستان به مکر و به دستان شرابیست نادر که آن را نهفتی به بازار راعی چه نادرمتاعی به جان ار فروشی یکی عشوه مفتی به زیر و به بالا تو بودی معلا فلک را دریدی چمن را شکفتی به صورت ز خاکی و زین خاک پاکی چو پاکان گردون نخوردی نخفتی تو کن شرح این را که در هر بیانی چو با دل جنوبی غبارات رفتی,3121,0
121,348,49,3753,لزوما رسیدن به چیزی که آرزو داریم به نفع ما نیست,Whatever it is you're seeking won't come in the form you're expecting,,2
728,424,2,1807,ما باید از غیبت کردن پرهیز کنیم,ما همه از الست همدستیم عاقبت شکر بازپیوستیم ما همه همدلیم و همراهیم جمله از یک شراب سرمستیم ما ز کونین عشق بگزیدیم جز که آن عشق هیچ نپرستیم چند تلخی کشید جان ز فراق عاقبت از فراق وارستیم آفتابی درآمد از روزن کرد ما را بلند اگر پستیم آفتابا مکش ز ما دامن نی که بر دامن تو بنشستیم از شعاع تو است اگر لعلیم از تو هستیم ما اگر هستیم پیش تو ذره وار رقصانیم از هوای تو بند بشکستیم,1761,0
745,443,2,3098,ما باید از غیبت کردن پرهیز کنیم,از کاسه شکسته نخیزد صدا درست احوال ما مپرس که ما دلشکسته‌ایم,,0
732,428,43,2991,ما باید راست بگوییم حتی اگر به ضرر ما باشد و نباید دروغ بگوییم حتی اگر به ما سود برساند,بی قدر ساخت خود را، نخوت فزود ما را بر ما و خود ستم کرد، هر کس ستود ما را,,1
736,433,43,9,ما باید راست بگوییم حتی اگر به ضرر ما باشد و نباید دروغ بگوییم حتی اگر به ما سود برساند,دوش از مسجد سوی میخانه آمد پیر ما چیست یاران طریقت بعد از این تدبیر ما ما مریدان روی سوی قبله چون آریم چون روی سوی خانه خمار دارد پیر ما در خرابات طریقت ما به هم منزل شویم کاین چنین رفته‌ست در عهد ازل تقدیر ما عقل اگر داند که دل دربند زلفش چون خوش است عاقلان دیوانه گردند از پی زنجیر ما روی خوبت آیتی از لطف بر ما کشف کرد زان زمان جز لطف و خوبی نیست در تفسیر ما با دل سنگینت آیا هیچ درگیرد شبی آه آتشناک و سوز سینه شبگیر ما تیر آه ما ز گردون بگذرد حافظ خموش رحم کن بر جان خود پرهیز کن از تیر ما,غزل    ۱۰,0
116,336,43,3973,ما باید راست بگوییم حتی اگر به ضرر ما باشد و نباید دروغ بگوییم حتی اگر به ما سود برساند,"There may be times when we are powerless to prevent injustice, but there must never be a time when we fail to protest",,1
117,337,43,4146,ما باید راست بگوییم حتی اگر به ضرر ما باشد و نباید دروغ بگوییم حتی اگر به ما سود برساند,"Stories may well be lies, but they are good lies that say true things, and which can sometimes pay the rent",,-1
